url,date_published,title,newsorg
http://www.myjoyonline.com/sports/2015/August-13th/new-edubiase-happy-about-leagues-two-week-hiatus.php,2020-08-13,New Edubiase happy about league’s two-week hiatus,myjoyonline.com
http://www.myjoyonline.com/sports/2015/August-13th/medeamas-muntari-tagoe-feels-kotoko-still-live-on-past-glory.php,2020-08-13,Medeama's Muntari Tagoe feels Kotoko still live on past glory,myjoyonline.com
https://ghananewsagency.org/social/make-spiritual-and-physical-care-a-priority-in-2020-campbell-162054,2020-01-01,Make spiritual and physical care a priority in 2020,ghananewsagency.org
https://ghananewsagency.org/politics/new-year-messages-from-some-world-leaders-162059,2020-01-01,New Year Messages from some world leaders,ghananewsagency.org
https://www.ghanamma.com/2020/01/01/new-year-messages-from-some-world-leaders/,2020-01-01,New Year Messages from some world leaders,ghanamma.com
https://www.ghanamma.com/2020/01/01/make-spiritual-and-physical-care-a-priority-in-2020-campbell/,2020-01-01,Make spiritual and physical care a priority in 2020,ghanamma.com
https://www.ghanamma.com/2020/01/01/make-spiritual-and-physical-care-a-priority-in-2020-campbell-2/,2020-01-01,Make spiritual and physical care a priority in 2020-Campbell,ghanamma.com
https://www.modernghana.com/news/976655/arsne-wenger-among-487-french-legion-dhonneur-award-winner.html,2020-01-01,Arsène Wenger among 487 French Legion d’Honneur award winners,modernghana.com
http://ghheadlines.com/agency/ghana-web-/20200101/133453483/make-spiritual-and-physical-care-a-priority-in-2020-campbell,2020-01-01,Make spiritual and physical care a priority in 2020-Campbell,ghheadlines.com
https://www.ghanamma.com/2020/01/02/can-nations-prosper-by-putting-well-being-before-gdp-in-2020/,2020-01-02,Can nations prosper by putting well-being before GDP in 2020?,ghanamma.com
https://www.ghanamma.com/2020/01/02/africas-instability-and-security-concerns/,2020-01-02,Africa’s instability and security concerns,ghanamma.com
https://ghananewsagency.org/features/africa-s-instability-and-security-concerns-162106,2020-01-02,Africa’s instability and security concerns,ghananewsagency.org
https://www.ghanamma.com/2020/01/03/australian-pm-face-the-wrath-of-angry-bushfire-victims/,2020-01-03,Australian PM face the wrath of angry bushfire victims,ghanamma.com
https://ghananewsagency.org/science/negative-human-practices-affect-ghana-s-marine-environment-expert-162145,2020-01-03,Negative human practices affect Ghana's marine environment,ghananewsagency.org
https://ghananewsagency.org/social/take-ownership-of-building-the-africa-we-want-agenda-aasu-162155,2020-01-03,Take ownership of building “the Africa We Want” Agenda,ghananewsagency.org
https://www.ghanamma.com/2020/01/03/how-to-cope-with-the-harmattan-in-ghana/,2020-01-03,How to cope with the Harmattan in Ghana,ghanamma.com
https://www.ghanamma.com/2020/01/03/take-ownership-of-building-the-africa-we-want-agenda-aasu/,2020-01-03,Take ownership of building “the Africa We Want” Agenda,ghanamma.com
https://www.ghanabusinessnews.com/2020/01/03/africas-instability-and-security-concerns/,2020-01-03,Africa’s instability and security concerns,ghanabusinessnews.com
https://www.ghanamma.com/2020/01/04/aasu-vows-to-defend-african-students-rights-in-2020/,2020-01-04,AASU Vows To Defend African Students Rights In 2020,ghanamma.com
https://dailyguidenetwork.com/aasu-vows-to-defend-african-students-rights-in-2020/,2020-01-04,AASU Vows To Defend African Students Rights In 2020,dailyguidenetwork.com
https://citinewsroom.com/2020/01/bright-simons-writes-bank-of-ghanas-murky-explanations-for-the-ghc100-and-ghc200-notes/,2020-01-06,Bright Simons writes: Bank of Ghana’s murky explanations for the GHC100 and GHC200 notes,citinewsroom.com
https://www.ghanamma.com/2020/01/06/bank-of-ghanas-murky-explanations-for-the-ghc100-and-ghc200-notes/,2020-01-06,Bank of Ghana’s murky explanations for the GHC100 and GHC200 notes,ghanamma.com
https://citinewsroom.com/2020/01/psychic-who-predicted-brexit-claims-british-royal-family-member-will-die-in-2020/,2020-01-06,Psychic who ‘predicted Brexit’ claims British royal family member will die in 2020,citinewsroom.com
https://www.modernghana.com/news/977344/france-promises-immediate-aid-for-australian-bushfires.html,2020-01-06,France promises immediate aid for Australian bushfires,modernghana.com
https://www.ghanabusinessnews.com/2020/01/06/african-students-told-to-take-ownership-of-building-the-africa-we-want-agenda/,2020-01-06,African students told to take ownership of building ‘the Africa We Want’ Agenda,ghanabusinessnews.com
https://www.happyghana.com/severe-harmattan-worsening-water-scarcity-as-dams-dry-up-in-the-north/,2020-01-06,Severe harmattan worsening water scarcity as dams dry up in the North,happyghana.com
https://www.ghanamma.com/2020/01/06/australian-government-ready-to-pay-whatever-it-takes-to-fight-wildfires/,2020-01-06,Australian government ready to pay 'whatever it takes' to fight wildfires,ghanamma.com
https://www.ghanamma.com/2020/01/06/psychic-who-predicted-brexit-claims-british-royal-family-member-will-die-in-2020/,2020-01-06,Psychic who 'predicted Brexit' claims British royal family member will die in 2020,ghanamma.com
https://citinewsroom.com/2020/01/australia-fires-almost-2000-homes-destroyed-in-marathon-crisis/,2020-01-07,"Australia fires: Almost 2,000 homes destroyed in marathon crisis",citinewsroom.com
https://ghananewsagency.org/politics/uphold-constitutional-mandate-by-safeguarding-the-environment-ghanaians-admonished-162261,2020-01-07,Uphold constitutional mandate by safeguarding the environment – Ghanaians admonished,ghananewsagency.org
https://citinewsroom.com/2020/01/climate-change-the-ticking-time-bomb-we-refuse-to-see-article/,2020-01-07,Climate Change: The ticking time bomb we refuse to see [Article],citinewsroom.com
https://www.ghanamma.com/2020/01/07/uphold-constitutional-mandate-by-safeguarding-the-environment-ghanaians-admonished/,2020-01-07,Uphold constitutional mandate by safeguarding the environment – Ghanaians admonished,ghanamma.com
https://www.modernghana.com/news/977680/australian-bushfires-the-new-norm.html,2020-01-08,Australian bushfires the new norm,modernghana.com
https://www.ghanamma.com/2020/01/08/budget-renovation-of-shame-by-tony-ademiluyi/,2020-01-08,"Budget Renovation Of Shame, By Tony Ademiluyi",ghanamma.com
https://thebftonline.com/2020/features/the-inequality-debate-we-need/,2020-01-08,The inequality debate we need,thebftonline.com
https://www.ghanamma.com/2020/01/08/hiawu-besease-celebrates-constitution-day-with-clean-up-exercise/,2020-01-08,Hiawu Besease celebrates Constitution Day with clean-up exercise,ghanamma.com
https://ghananewsagency.org/social/hiawu-besease-celebrates-constitution-day-with-clean-up-exercise-162267,2020-01-08,Hiawu Besease celebrates Constitution Day with clean-up exercise,ghananewsagency.org
https://www.ghanamma.com/2020/01/08/tutu-and-former-us-vice-president-al-gore-talk-climate-change/,2020-01-08,Tutu and former US vice president Al Gore talk climate change,ghanamma.com
https://citinewsroom.com/2020/01/ghana-climate-change-and-environmental-pollution-needs-concerted-effort-article/,2020-01-08,Ghana: Climate change and environmental pollution needs concerted effort [Article],citinewsroom.com
http://ghheadlines.com/agency/citifm/20200108/133565496/ghana-climate-change-and-environmental-pollution-needs-concerted-effort-article,2020-01-08,Ghana: Climate change and environmental pollution needs concerted effort [Article],ghheadlines.com
https://ghananewsagency.org/social/five-upper-east-districts-affected-by-floods-get-support-162329,2020-01-09,Five Upper East districts affected by floods get support,ghananewsagency.org
https://www.ghanamma.com/2020/01/09/five-upper-east-districts-affected-by-floods-get-support/,2020-01-09,Five Upper East districts affected by floods get support,ghanamma.com
https://www.ghanamma.com/2020/01/10/from-shoemaker-and-scrap-dealer-to-un-fellow-the-inspiring-story-of-justice-surugu/,2020-01-10,"From shoemaker and scrap dealer to UN fellow, the inspiring story of Justice Surugu",ghanamma.com
https://www.ghanamma.com/2020/01/10/pics-australians-flee-their-homes-as-heat-winds-escalate-fire-danger/,2020-01-10,"PICS: Australians flee their homes as heat, winds escalate fire danger",ghanamma.com
https://ghananewsagency.org/economics/afdb-sponsored-off-grid-energy-access-fund-reaches-final-equity-close-162356,2020-01-10,AfDB sponsored Off-Grid Energy Access Fund reaches final equity close,ghananewsagency.org
https://www.ghanamma.com/2020/01/10/afdb-sponsored-off-grid-energy-access-fund-reaches-final-equity-close/,2020-01-10,AfDB sponsored Off-Grid Energy Access Fund reaches final equity close,ghanamma.com
