url,date_published,title,newsorg
http://www.seychellesnewsagency.com/articles/12201/New+Year+fireworks%2C+smoke+and+tear+gas+as+decade+begins+with+a+bang,2020-01-01,"New Year fireworks, smoke and tear gas as decade begins with a bang",seychellesnewsagency.com
https://sbc.sc/news/new-year-fireworks-smoke-and-tear-gas-as-decade-begins-with-a-bang/,2020-01-01,"New Year fireworks, smoke and tear gas as decade begins with a bang",sbc.sc
http://www.seychellesnewsagency.com/articles/12188/+ways+Seychelles+has+been+recognised+for+its+dedication+to+the+environment%2C+Blue+Economy,2020-01-02,"8 ways Seychelles has been recognised for its dedication to the environment, Blue Economy",seychellesnewsagency.com
https://sbc.sc/news/8-ways-seychelles-has-been-recognised-for-its-dedication-to-the-environment-blue-economy/,2020-01-02,"8 ways Seychelles has been recognised for its dedication to the environment, Blue Economy",sbc.sc
http://www.seychellesnewsagency.com/articles/12209/Australia+counts+cost+after+day+of+fire+fury,2020-01-05,Australia counts cost after day of fire fury,seychellesnewsagency.com
https://sbc.sc/news/australia-counts-cost-after-day-of-fire-fury/,2020-01-05,Australia counts cost after day of fire fury,sbc.sc
http://www.seychellesnewsagency.com/articles/12237/India+suffers+hottest+decade+on+record,2020-01-10,India suffers hottest decade on record,seychellesnewsagency.com
https://sbc.sc/news/india-suffers-hottest-decade-on-record/,2020-01-10,India suffers hottest decade on record,sbc.sc
http://www.seychellesnewsagency.com/articles/12243/Climate+at+mercy+of+politics+in+%2C+experts+warn,2020-01-12,"Climate at mercy of politics in 2020, experts warn",seychellesnewsagency.com
https://sbc.sc/news/climate-at-mercy-of-politics-in-2020-experts-warn/,2020-01-12,"Climate at mercy of politics in 2020, experts warn",sbc.sc
https://sbc.sc/news/increased-visibility-online-led-to-tourism-growth-in-seychelles-stb-says/,2020-01-13,"Increased visibility online led to tourism growth in Seychelles, STB says",sbc.sc
http://www.seychellesnewsagency.com/articles/12279/Record++million+need+urgent+food+aid+in+southern+Africa+UN,2020-01-18,Record 45 million need urgent food aid in southern Africa: UN,seychellesnewsagency.com
https://sbc.sc/news/record-45-million-need-urgent-food-aid-in-southern-africa-un/,2020-01-18,Record 45 million need urgent food aid in southern Africa: UN,sbc.sc
https://sbc.sc/news/soft-coral-around-2-seychelles-islands-suffered-less-than-feared-in-2015-17-warming-study-finds/,2020-01-20,"Soft coral around 2 Seychelles islands suffered less than feared in 2015-17 warming, study finds",sbc.sc
https://sbc.sc/news/world-powers-agree-new-push-for-libya-peace/,2020-01-20,World powers agree new push for Libya peace,sbc.sc
https://sbc.sc/news/britains-prince-harry-expresses-great-sadness-at-royal-split/,2020-01-20,Britain's Prince Harry expresses 'great sadness' at royal split,sbc.sc
http://www.seychellesnewsagency.com/articles/12255/Soft+coral+around++Seychelles+islands+suffered+less+than+feared+in+-+warming%2C+study+finds,2020-01-20,"Soft coral around 2 Seychelles islands suffered less than feared in 2015-17 warming, study finds",seychellesnewsagency.com
http://www.seychellesnewsagency.com/articles/12311/US+tells+Thunberg+to+%27study+economics%27+in+Davos+climate+spat,2020-01-24,US tells Thunberg to 'study economics' in Davos climate spat,seychellesnewsagency.com
https://sbc.sc/news/us-tells-thunberg-to-study-economics-in-davos-climate-spat/,2020-01-24,US tells Thunberg to 'study economics' in Davos climate spat,sbc.sc
http://www.seychellesnewsagency.com/articles/12331/Madagascar+flood+victims+struggle+to+pick+up+the+pieces,2020-01-28,Madagascar flood victims struggle to pick up the pieces,seychellesnewsagency.com
http://www.seychellesnewsagency.com/articles/11566/New+study+in+Seychelles+to+establish+fruit+bat+population%2C+breeding+patterns,2020-01-28,"New study in Seychelles to establish fruit bat population, breeding patterns",seychellesnewsagency.com
https://sbc.sc/news/new-study-in-seychelles-to-establish-fruit-bat-population-breeding-patterns/,2020-01-28,"New study in Seychelles to establish fruit bat population, breeding patterns",sbc.sc
https://sbc.sc/news/madagascar-flood-victims-struggle-to-pick-up-the-pieces/,2020-01-28,Madagascar flood victims struggle to pick up the pieces,sbc.sc
http://www.seychellesnewsagency.com/articles/12339/Research+project+to+examine+benefits+of+Morne+Seychellois+National+Park,2020-01-30,Research project to examine benefits of Morne Seychellois National Park,seychellesnewsagency.com
https://sbc.sc/news/research-project-to-examine-benefits-of-morne-seychellois-national-park/,2020-01-30,Research project to examine benefits of Morne Seychellois National Park,sbc.sc
http://www.seychellesnewsagency.com/articles/12377/World+Bank+to+help+Seychelles+counter+coastal+erosion,2020-02-05,World Bank to help Seychelles counter coastal erosion,seychellesnewsagency.com
https://sbc.sc/news/world-bank-to-help-seychelles-counter-coastal-erosion/,2020-02-05,World Bank to help Seychelles counter coastal erosion,sbc.sc
https://sbc.sc/news/daniel-arap-moi-kenyas-iron-fisted-second-president/,2020-02-09,"Daniel arap Moi, Kenya's iron-fisted second president",sbc.sc
http://www.seychellesnewsagency.com/articles/12399/Daniel+arap+Moi%2C+Kenya%27s+iron-fisted+second+president,2020-02-09,"Daniel arap Moi, Kenya's iron-fisted second president",seychellesnewsagency.com
http://www.seychellesnewsagency.com/articles/12407/Seychelles+co-hosts+climate+change+event+at+African+Union+summit,2020-02-11,Seychelles co-hosts climate change event at African Union summit,seychellesnewsagency.com
http://www.seychellesnewsagency.com/articles/12371/Severe+coastal+erosion+due+to+climate+change+forcing+Seychelles+to+fight+back+against+higher+seas,2020-02-11,Severe coastal erosion due to climate change forcing Seychelles to fight back against higher seas,seychellesnewsagency.com
http://www.seychellesnewsagency.com/articles/12406/War+dominates+Africa+summit+as+leaders+vow+Libya+support,2020-02-11,War dominates Africa summit as leaders vow Libya support,seychellesnewsagency.com
https://sbc.sc/news/after-60-years-barclays-transforms-into-absa-bank-seychelles/,2020-02-11,"After 60 years, Barclays transforms into Absa Bank Seychelles",sbc.sc
https://sbc.sc/news/who-warns-of-very-grave-global-virus-threat/,2020-02-11,WHO warns of 'very grave' global virus threat,sbc.sc
https://sbc.sc/news/seychelles-co-hosts-climate-change-event-at-african-union-summit/,2020-02-11,Seychelles co-hosts climate change event at African Union summit,sbc.sc
https://sbc.sc/news/war-dominates-africa-summit-as-leaders-vow-libya-support/,2020-02-11,War dominates Africa summit as leaders vow Libya support,sbc.sc
https://sbc.sc/news/severe-coastal-erosion-due-to-climate-change-forcing-seychelles-to-fight-back-against-higher-seas/,2020-02-11,Severe coastal erosion due to climate change forcing Seychelles to fight back against higher seas,sbc.sc
https://sbc.sc/news/who-names-deadly-virus-from-china-as-covid-19/,2020-02-12,WHO names deadly virus from China as 'COVID-19',sbc.sc
https://sbc.sc/news/nekton-expedition-to-conduct-first-seamounts-research-in-waters-of-seychelles-maldives/,2020-02-12,"Nekton expedition to conduct first seamounts research in waters of Seychelles, Maldives",sbc.sc
http://www.seychellesnewsagency.com/articles/12435/State+House+in+Seychelles+is+connected+to+solar%3B+plan+for+three+gov%27t+branches+to+go+green,2020-02-14,State House in Seychelles is connected to solar; plan for three gov't branches to go green,seychellesnewsagency.com
https://sbc.sc/news/state-house-in-seychelles-is-connected-to-solar-plan-for-three-govt-branches-to-go-green/,2020-02-14,State House in Seychelles is connected to solar; plan for three gov't branches to go green,sbc.sc
http://www.seychellesnewsagency.com/articles/12451/US+scientist+congratulates+Seychelles+for+protecting++pct+of+marine+area++years+early,2020-02-18,US scientist congratulates Seychelles for protecting 30 pct of marine area 10 years early,seychellesnewsagency.com
https://sbc.sc/news/us-scientist-congratulates-seychelles-for-protecting-30-pct-of-marine-area-10-years-early/,2020-02-18,US scientist congratulates Seychelles for protecting 30 pct of marine area 10 years early,sbc.sc
http://www.seychellesnewsagency.com/articles/12461/++million+%27Ridge+to+the+Reef%27+project+to+protect+Seychelles%27+ecosystems+from+mountain+to+coast,2020-02-20,31 million 'Ridge to the Reef' project to protect Seychelles' ecosystems from mountain to coast,seychellesnewsagency.com
https://sbc.sc/news/31-million-ridge-to-the-reef-project-to-protect-seychelles-ecosystems-from-mountain-to-coast/,2020-02-20,31 million 'Ridge to the Reef' project to protect Seychelles' ecosystems from mountain to coast,sbc.sc
http://www.seychellesnewsagency.com/articles/12468/State+of+the+Nation+Seychelles+to+scrap+Value+Added+Tax+on+food+commodities+to+reduce+cost+of+living,2020-02-21,State of the Nation: Seychelles to scrap Value Added Tax on food commodities to reduce cost of living,seychellesnewsagency.com
https://sbc.sc/news/state-of-the-nation-seychelles-to-scrap-value-added-tax-on-food-commodities-to-reduce-cost-of-living/,2020-02-21,State of the Nation: Seychelles to scrap Value Added Tax on food commodities to reduce cost of living,sbc.sc
http://www.seychellesnewsagency.com/articles/12494/Seychelles+to+seek+seat+on+United+Nations+Human+Rights+Council%3B+part+of+push+to+increase+international+presence,2020-02-26,Seychelles to seek seat on United Nations Human Rights Council; part of push to increase international presence,seychellesnewsagency.com
https://sbc.sc/news/seychelles-to-seek-seat-on-united-nations-human-rights-council-part-of-push-to-increase-international-presence/,2020-02-26,Seychelles to seek seat on United Nations Human Rights Council; part of push to increase international presence,sbc.sc
http://www.seychellesnewsagency.com/articles/12500/AU+chief+flags+disputes+over+gay+rights%2C+justice+in+EU+talks,2020-02-27,"AU chief flags disputes over gay rights, justice in EU talks",seychellesnewsagency.com
https://sbc.sc/news/au-chief-flags-disputes-over-gay-rights-justice-in-eu-talks/,2020-02-27,"AU chief flags disputes over gay rights, justice in EU talks",sbc.sc
http://www.seychellesnewsagency.com/articles/12469/New+aquatic+survey+in+Seychelles+to+establish+status+of+freshwater+species,2020-02-28,New aquatic survey in Seychelles to establish status of freshwater species,seychellesnewsagency.com
https://sbc.sc/news/new-aquatic-survey-in-seychelles-to-establish-status-of-freshwater-species/,2020-02-28,New aquatic survey in Seychelles to establish status of freshwater species,sbc.sc
https://sbc.sc/news/new-shipping-air-routes-being-explored-between-india-and-seychelles/,2020-03-02,"New shipping, air routes being explored between India and Seychelles",sbc.sc
http://www.seychellesnewsagency.com/articles/12513/New+shipping%2C+air+routes+being+explored+between+India+and+Seychelles,2020-03-02,"New shipping, air routes being explored between India and Seychelles",seychellesnewsagency.com
http://www.seychellesnewsagency.com/articles/12547/Seychelles+hands+over+presidency+of+the+Indian+Ocean+Commission,2020-03-07,Seychelles hands over presidency of the Indian Ocean Commission,seychellesnewsagency.com
https://sbc.sc/news/seychelles-hands-over-presidency-of-the-indian-ocean-commission/,2020-03-07,Seychelles hands over presidency of the Indian Ocean Commission,sbc.sc
http://www.seychellesnewsagency.com/articles/12561/Russian+Ambassador+space+technology+can+help+Seychelles+fight+climate+change+impact,2020-03-10,Russian Ambassador: space technology can help Seychelles fight climate change impact,seychellesnewsagency.com
https://sbc.sc/news/covid-19-and-seychelles-fewer-italian-tourists-and-an-uncertain-future-top-official-says/,2020-03-10,"Covid-19 and Seychelles: Fewer Italian tourists, and an uncertain future, top official says",sbc.sc
https://sbc.sc/news/italy-limits-travel-and-bans-public-gatherings-across-whole-country/,2020-03-10,Italy limits travel and bans public gatherings across whole country,sbc.sc
https://sbc.sc/news/russian-ambassador-space-technology-can-help-seychelles-fight-climate-change-impact/,2020-03-10,Russian Ambassador: space technology can help Seychelles fight climate change impact,sbc.sc
http://www.seychellesnewsagency.com/articles/12579/Beyond+human+toll%2C+coronavirus+could+shake+up+global+politics,2020-03-13,"Beyond human toll, coronavirus could shake up global politics",seychellesnewsagency.com
https://sbc.sc/news/beyond-human-toll-coronavirus-could-shake-up-global-politics/,2020-03-13,"Beyond human toll, coronavirus could shake up global politics",sbc.sc
http://www.seychellesnewsagency.com/articles/12600/Read%2C+read%2C+read%2C+poet+visiting+Seychelles+advises+aspiring+writers,2020-04-19,"Read, read, read, poet visiting Seychelles advises aspiring writers",seychellesnewsagency.com
https://sbc.sc/news/read-read-read-poet-visiting-seychelles-advises-aspiring-writers/,2020-04-19,"Read, read, read, poet visiting Seychelles advises aspiring writers",sbc.sc
http://www.seychellesnewsagency.com/articles/12787/COVID-+today%2C+climate+change+tomorrow+Seychelles+faces+dual+threats+on+Earth+Day,2020-04-22,"COVID-19 today, climate change tomorrow: Seychelles faces dual threats on Earth Day",seychellesnewsagency.com
https://sbc.sc/news/covid-19-today-climate-change-tomorrow-seychelles-faces-dual-threats-on-earth-day/,2020-04-22,"COVID-19 today, climate change tomorrow: Seychelles faces dual threats on Earth Day",sbc.sc
https://sbc.sc/news/suffering-gasping-experts-warn-of-oxygen-shortages-in-poorer-virus-threatened-nations/,2020-04-22,"Suffering, gasping': experts warn of oxygen shortages in poorer virus-threatened nations",sbc.sc
http://www.seychellesnewsagency.com/articles/12752/New+regulation+for+processing%2C+trade+and+export+of+coco+de+mer+kernel+endorsed+by+Seychelles%27+cabinet,2020-04-22,"New regulation for processing, trade and export of coco de mer kernel endorsed by Seychelles' cabinet",seychellesnewsagency.com
https://sbc.sc/news/africas-biggest-airline-fights-for-survival-amid-pandemic-ceo/,2020-04-22,Africa's biggest airline fights for 'survival' amid pandemic: CEO,sbc.sc
https://sbc.sc/news/new-regulation-for-processing-trade-and-export-of-coco-de-mer-kernel-endorsed-by-seychelles-cabinet/,2020-04-22,"New regulation for processing, trade and export of coco de mer kernel endorsed by Seychelles' cabinet",sbc.sc
https://sbc.sc/news/seychelles-working-with-south-africa-other-governments-to-repatriate-stranded-nationals/,2020-04-22,"Seychelles working with South Africa, other governments to repatriate stranded nationals",sbc.sc
http://www.seychellesnewsagency.com/articles/12833/COVID-+to+cause+record+emissions+fall+in++IEA,2020-04-30,COVID-19 to cause record emissions fall in 2020: IEA,seychellesnewsagency.com
https://sbc.sc/news/covid-19-to-cause-record-emissions-fall-in-2020-iea/,2020-04-30,COVID-19 to cause record emissions fall in 2020: IEA,sbc.sc
http://www.seychellesnewsagency.com/articles/12375/Seychelles+seeks+to+mitigate+effects+of+climate+change+on+the+fisheries+industry,2020-05-19,Seychelles seeks to mitigate effects of climate change on the fisheries industry,seychellesnewsagency.com
http://www.seychellesnewsagency.com/articles/12926/Mass+evacuations+for+major+cyclone+in+South+Asia,2020-05-19,Mass evacuations for major cyclone in South Asia,seychellesnewsagency.com
https://sbc.sc/news/seychelles-is-free-of-covid-19-after-11th-patient-tests-negative/,2020-05-19,Seychelles is free of COVID-19 after 11th patient tests negative,sbc.sc
https://sbc.sc/news/who-to-review-virus-response-as-trump-renews-attack/,2020-05-19,WHO to review virus response as Trump renews attack,sbc.sc
https://sbc.sc/news/mass-evacuations-for-major-cyclone-in-south-asia/,2020-05-19,Mass evacuations for major cyclone in South Asia,sbc.sc
https://sbc.sc/news/seychelles-seeks-to-mitigate-effects-of-climate-change-on-the-fisheries-industry/,2020-05-19,Seychelles seeks to mitigate effects of climate change on the fisheries industry,sbc.sc
http://www.seychellesnewsagency.com/articles/12933/Global+CO+emissions+to+drop+-+in+%2C+but+will+it+matter,2020-05-20,"Global CO2 emissions to drop 4-7% in 2020, but will it matter?",seychellesnewsagency.com
https://sbc.sc/news/courts-in-seychelles-to-resume-june-1-with-priority-cases/,2020-05-20,Courts in Seychelles to resume June 1 with priority cases,sbc.sc
https://sbc.sc/news/global-co2-emissions-to-drop-4-7-in-2020-but-will-it-matter/,2020-05-20,"Global CO2 emissions to drop 4-7% in 2020, but will it matter?",sbc.sc
https://sbc.sc/news/guterres-warns-virus-could-send-millions-in-africa-into-extreme-poverty/,2020-05-20,Guterres warns virus could send millions in Africa into 'extreme poverty',sbc.sc
http://www.seychellesnewsagency.com/articles/12937/Super+cyclone+leaves+trail+of+destruction+in+Bangladesh%2C+India,2020-05-21,"Super cyclone leaves trail of destruction in Bangladesh, India",seychellesnewsagency.com
https://sbc.sc/news/super-cyclone-leaves-trail-of-destruction-in-bangladesh-india/,2020-05-21,"Super cyclone leaves trail of destruction in Bangladesh, India",sbc.sc
http://www.seychellesnewsagency.com/articles/12956/New+island+designated+for+collection+of+a+delicacy+in+Seychelles+bird+eggs,2020-05-25,New island designated for collection of a delicacy in Seychelles: bird eggs,seychellesnewsagency.com
https://sbc.sc/news/new-island-designated-for-collection-of-a-delicacy-in-seychelles-bird-eggs/,2020-05-25,New island designated for collection of a delicacy in Seychelles: bird eggs,sbc.sc
http://www.seychellesnewsagency.com/articles/12983/Some++world+leaders+call+for+post-pandemic+cooperation,2020-05-29,Some 50 world leaders call for post-pandemic cooperation,seychellesnewsagency.com
https://sbc.sc/news/some-50-world-leaders-call-for-post-pandemic-cooperation/,2020-05-29,Some 50 world leaders call for post-pandemic cooperation,sbc.sc
http://www.seychellesnewsagency.com/articles/13039/Veteran+Burundi+president+Nkurunziza+dies+of+heart+failure,2020-06-10,Veteran Burundi president Nkurunziza dies of heart failure,seychellesnewsagency.com
http://www.seychellesnewsagency.com/articles/13072/World+Bank+to+assist+Seychelles+with+coastal+management+and+erosion+plan,2020-06-17,World Bank to assist Seychelles with coastal management and erosion plan,seychellesnewsagency.com
https://sbc.sc/news/world-bank-to-assist-seychelles-with-coastal-management-and-erosion-plan/,2020-06-17,World Bank to assist Seychelles with coastal management and erosion plan,sbc.sc
https://sbc.sc/news/4-trillion-fund-holders-tell-brazil-to-halt-deforestation/,2020-06-23,4 trillion fund holders tell Brazil to halt deforestation,sbc.sc
http://www.seychellesnewsagency.com/articles/13096/+trillion+fund+holders+tell+Brazil+to+halt+deforestation,2020-06-23,4 trillion fund holders tell Brazil to halt deforestation,seychellesnewsagency.com
https://sbc.sc/news/planned-floating-solar-plant-in-seychelles-delayed-because-of-covid-complications/,2020-06-30,Planned floating solar plant in Seychelles delayed because of COVID complications,sbc.sc
http://www.seychellesnewsagency.com/articles/13098/Planned+floating+solar+plant+in+Seychelles+delayed+because+of+COVID+complications,2020-06-30,Planned floating solar plant in Seychelles delayed because of COVID complications,seychellesnewsagency.com
http://www.seychellesnewsagency.com/articles/13137/Hotel+shutdowns+in+Seychelles+straining+Public+Utilities+Corporation%27s+bottom+line,2020-07-01,Hotel shutdowns in Seychelles straining Public Utilities Corporation's bottom line,seychellesnewsagency.com
https://sbc.sc/news/hotel-shutdowns-in-seychelles-straining-public-utilities-corporations-bottom-line/,2020-07-01,Hotel shutdowns in Seychelles straining Public Utilities Corporation's bottom line,sbc.sc
