url,date_published,title,newsorg
https://mybroadband.co.za/news/science/333650-hotter-stormier-and-more-extreme-the-future-of-weather.html,2020-01-01,"Hotter, stormier and more extreme – The future of weather",mybroadband.co.za
https://www.timeslive.co.za/news/sci-tech/2020-01-01-will-climate-activists-be-able-to-keep-the-heat-on-after-breakthrough-year/,2020-01-01,Will climate activists be able to keep the heat on after breakthrough year?,timeslive.co.za
https://www.sowetanlive.co.za/news/south-africa/2020-01-01-will-climate-activists-be-able-to-keep-the-heat-on-after-breakthrough-year/,2020-01-01,Will climate activists be able to keep the heat on after breakthrough year?,sowetanlive.co.za
https://www.enca.com/life/pictures-new-year-fireworks-decade-begins-bang,2020-01-01,IN PICTURES: New Year fireworks as decade begins with a bang,enca.com
https://ewn.co.za/2020/01/01/australia-scrambles-to-reach-thousands-stranded-by-bushfires,2020-01-01,Australia scrambles to reach thousands stranded by bushfires,ewn.co.za
https://www.timeslive.co.za/news/world/2020-01-01-australia-scrambles-to-reach-thousands-stranded-by-bushfires/,2020-01-01,Australia scrambles to reach thousands stranded by bushfires,timeslive.co.za
https://www.sowetanlive.co.za/news/south-africa/2020-01-01-australia-scrambles-to-reach-thousands-stranded-by-bushfires/,2020-01-01,Australia scrambles to reach thousands stranded by bushfires,sowetanlive.co.za
https://ewn.co.za/2020/01/01/world-welcomes-2020-but-wildfires-protests-cast-a-pall-over-some-celebrations,2020-01-01,"World welcomes 2020, but wildfires, protests, cast a pall over some celebrations",ewn.co.za
https://businesstech.co.za/news/property/362106/this-is-what-you-can-expect-from-the-property-market-in-south-africa-this-year/,2020-01-01,This is what you can expect from the property market in South Africa this year,businesstech.co.za
https://www.iol.co.za/business-report/international/can-you-own-a-private-jet-if-you-care-about-climate-change-39663165,2020-01-01,Can you own a private jet if you care about climate change?,iol.co.za
https://www.heraldlive.co.za/news/2020-01-01-will-climate-activists-be-able-to-keep-the-heat-on-after-breakthrough-year/,2020-01-01,Will climate activists be able to keep the heat on after breakthrough year?,heraldlive.co.za
https://southafricatoday.net/environment/monitoring-and-law-enforcement-must-be-strengthened-commentary/,2020-01-02,Monitoring and law enforcement must be strengthened (commentary),southafricatoday.net
https://southafricatoday.net/environment/2019-brings-death-by-1000-cuts-to-amazon-part-one/,2020-01-01,"2019 brings death by 1,000 cuts to Amazon — part one",southafricatoday.net
https://ewn.co.za/2020/01/02/australia-orders-evacuation-of-fire-ravaged-towns-before-heatwave,2020-01-02,Australia orders evacuation of fire-ravaged towns before heatwave,ewn.co.za
https://www.sanews.gov.za/south-africa/ongoing-drought-priority-government,2020-01-02,Ongoing drought a priority for government,sanews.gov.za
https://www.heraldlive.co.za/news/world/2020-01-02-australian-bushfires-rage-on-creating-hell-on-earth/,2020-01-02,Australian bushfires rage on creating ‘hell on earth’,heraldlive.co.za
https://citizen.co.za/news/news-world/2223895/australia-orders-evacuation-of-fire-ravaged-towns-before-heatwave/,2020-01-02,Australia orders evacuation of fire-ravaged towns before heatwave,citizen.co.za
https://www.vocfm.co.za/govt-resolute-in-alleviating-impact-of-drought-in-parts-of-sa/,2020-01-02,Govt 'resolute' in alleviating impact of drought in parts of SA,vocfm.co.za
https://mg.co.za/article/2020-01-03-00-an-agenda-for-decent-jobs-in-africa/,2020-01-03,An agenda for decent jobs in Africa,co.za
https://mg.co.za/article/2020-01-03-00-bright-signs-emerge-amid-global-turmoil/,2020-01-03,Bright signs emerge amid global turmoil,co.za
https://southafricatoday.net/world-news/europe/new-austrian-government-to-fight-illegal-migration-climate-change-kurz/,2020-01-02,"New Austrian Government to Fight Illegal Migration, Climate Change",southafricatoday.net
