url,date_published,title,newsorg
https://www.independent.co.ug/new-year-fireworks-smoke-and-tear-gas/,2020-01-01,"New Year fireworks, smoke and tear gas",independent.co.ug
http://www.ugandanews.net/news/263577635/finding-common-ground-in-east-africa-a-un-resident-coordinator-blog,2020-01-02,"Finding common ground in East Africa, a UN Resident Coordinator blog",ugandanews.net
http://www.ugandanews.net/news/263582718/finding-common-ground-in-east-africa-a-un-resident-coordinator-blog,2020-01-02,Finding common ground in East Africa: a UN Resident Coordinator blog,ugandanews.net
https://www.monitor.co.ug/Magazines/HomesandProperty/New-Year-new-home-look--What-to-change-/689858-5403888-jhgkhrz/index.html,2020-01-01,"New Year, new home look: What to change",monitor.co.ug
https://observer.ug/viewpoint/63086-your-mail-rethink-tondeka-metro-idea,2020-01-01,Your mail: Rethink Tondeka Metro idea,observer.ug
https://observer.ug/news/headlines/63065-kitaka-s-2020-master-plan-for-kampala-infrastructure,2020-01-03,Kitaka’s 2020 master plan for Kampala infrastructure,observer.ug
https://www.monitor.co.ug/Magazines/Farming/689860-5406882-lu0v2wz/index.html,2020-01-04,Nakaseke farmers doing their bit to keep soils fertile,monitor.co.ug
https://www.monitor.co.ug/Magazines/Farming/Nakaseke-farmers-doing-their-bit-keep-soils-fertile/689860-5406882-bkt5es/index.html,2020-01-04,Nakaseke farmers doing their bit to keep soils fertile,monitor.co.ug
https://www.monitor.co.ug/OpEd/Commentary/2020-here-It-was-supposed-to-be-year-midro-incomu/689364-5405918-rxtq9ez/index.html,2020-01-04,2020 is here: It was supposed to be the year of ‘midro incomu’,monitor.co.ug
https://www.independent.co.ug/war-film-1917-stuns-golden-globes-as-tarantino-bags-most-prizes/,2020-01-06,War film '1917' stuns Golden Globes as Tarantino bags most prizes,independent.co.ug
https://www.monitor.co.ug/OpEd/Commentary/Take-time-to-rethink-nuclear-power-option/689364-5408464-13jo43i/index.html,2020-01-06,Take time to rethink nuclear power option,monitor.co.ug
