url,date_published,title,newsorg
https://acpcongo.com/index.php/2021/11/29/president-felix-tshisekedi-advocates-the-fight-for-african-renaissance-and-dignity/,2021-11-29,President Félix Tshisekedi advocates the fight for African renaissance and dignity,acpcongo.com
https://acpcongo.com/index.php/2021/12/08/imf-managing-director-praises-the-managerial-quality-of-president-felix-tshisekedi/,2021-12-08,IMF Managing Director praises the managerial quality of President Felix Tshisekedi,acpcongo.com
https://acpcongo.com/index.php/2021/12/13/president-of-the-republic-felix-tshisekedi-urges-the-government-to-improve-the-social-conditions-of-the-population/,2021-12-13,President of the Republic Felix Tshisekedi urges the Government to improve the social conditions of the population,acpcongo.com
https://acpcongo.com/index.php/2021/10/14/president-felix-tshisekedi-in-kinshasa-since-thursday/,2021-10-14,President Felix Tshisekedi in Kinshasa since Thursday,acpcongo.com
https://acpcongo.com/index.php/2021/10/22/the-impassability-of-agricultural-feeder-roads-among-the-difficulties-encountered-by-the-rural-world/,2021-10-22,The impassability of agricultural feeder roads among the difficulties encountered by the rural world,acpcongo.com
https://acpcongo.com/index.php/2021/10/26/au-eu-christophe-lutundula-for-a-true-partnership-of-the-peoples-of-africa-and-europe/,2021-10-26,AU-EU: Christophe Lutundula for a true partnership of the peoples of Africa and Europe,acpcongo.com
https://acpcongo.com/index.php/2021/10/29/cop26-president-felix-tshisekedi-for-the-realization-of-commitments-in-favor-of-the-continent/,2021-10-29,COP26: President Félix Tshisekedi for the realization of commitments in favor of the continent,acpcongo.com
https://acpcongo.com/index.php/2021/10/29/president-felix-tshisekedi-at-the-g20-summit-in-rome-president-felix/,2021-10-29,President Félix Tshisekedi at the G20 Summit in Rome President Félix,acpcongo.com
https://acpcongo.com/index.php/2021/11/01/the-pana-coastal-zone-project-faces-non-appropriation-by-the-communities-of-muanda/,2021-11-01,The “Pana- Coastal Zone” project faces non-appropriation by the communities of Muanda,acpcongo.com
https://acpcongo.com/index.php/2021/11/02/g20-decided-to-take-action-in-favor-of-african-economies/,2021-11-02,G20 decided to take action in favor of African economies,acpcongo.com
https://acpcongo.com/index.php/2021/11/02/cop26-president-felix-tshisekedi-spokesperson-for-africa-and-drc-at-glasgow/,2021-11-02,"COP26: President Felix Tshisekedi, spokesperson for Africa and DRC at GLASGOW",acpcongo.com
https://acpcongo.com/index.php/2021/11/03/cop26-president-felix-tshisekedi-calls-for-new-development-approaches-for-africa/,2021-11-03,COP26: President Felix Tshisekedi calls for new development approaches for Africa,acpcongo.com
https://acpcongo.com/index.php/2021/11/04/the-population-of-kinshasa-reserves-for-president-felix-tshisekedi-a-particularly-warm-welcome-after-his-brilliant-performance-at-g20-and-at-cop26/,2021-11-04,The population of Kinshasa reserves for President Felix Tshisekedi a particularly warm welcome after his brilliant performance at G20 and at COP26,acpcongo.com
https://acpcongo.com/index.php/2021/09/21/president-felix-tshisekedi-speaks-this-tuesday-at-the-podium-of-the-united-nations/,2021-09-21,President Felix Tshisekedi speaks this Tuesday at the podium of the United Nations,acpcongo.com
https://acpcongo.com/index.php/2021/09/28/united-nations-president-felix-tshisekedi-advocates-a-constructive-africa-international-community-partnership/,2021-09-28,United Nations: President Félix Tshisekedi advocates a constructive Africa-international community partnership,acpcongo.com
https://acpcongo.com/index.php/2021/09/29/president-felix-tshisekedi-calls-for-financial-compensation-for-africas-contribution-to-climate-stabilization/,2021-09-29,President Felix Tshisekedi calls for financial compensation for Africa’s contribution to climate stabilization,acpcongo.com
https://acpcongo.com/index.php/2021/10/04/deputy-prime-minister-in-charge-of-the-environment-calls-for-fair-access-to-climate-finance/,2021-10-04,Deputy Prime Minister in charge of the Environment calls for fair access to climate finance,acpcongo.com
https://acpcongo.com/index.php/2021/10/05/an-envoy-of-president-joe-biden-to-president-felix-tshisekedi/,2021-10-05,An envoy of President Joe Biden to President Félix Tshisekedi,acpcongo.com
https://acpcongo.com/index.php/2021/06/12/a-doctoral-thesis-on-the-rights-of-local-communities-put-to-the-test-of-environmental-protection/,2021-06-12,A doctoral thesis on the rights of local communities put to the test of environmental protection,acpcongo.com
https://acpcongo.com/index.php/2021/06/12/solar-energy-at-the-center-of-exchanges-between-the-company-baroma-and-the-minister-of-water-resources-and-electricity/,2021-06-12,Solar energy at the center of exchanges between the company Baroma and the Minister of Water Resources and Electricity,acpcongo.com
https://acpcongo.com/index.php/2021/07/17/eve-bazaiba-and-the-egyptian-minister-of-water-resources-inaugurated-the-congo-hydro-computer-center/,2021-07-17,Ève Bazaiba and the Egyptian Minister of Water Resources inaugurated the Congo hydro computer center,acpcongo.com
https://acpcongo.com/index.php/2021/08/19/environment-drc-usa-partnership-at-the-center-of-exchanges/,2021-08-19,Environment: DRC-USA partnership at the center of exchanges,acpcongo.com
https://www.direct.cd/2021/02/10/le-secretaire-detat-americain-anthony-blinken-felicite-le-president-felix-tshisekedi-et-dit-avoir-hate-de-renforcer-leur-partenariat/,2021-02-10,Le Secrétaire d'état Américain Anthony Blinken félicite le Président Félix Tshisekedi et dit avoir hâte de renforcer leur partenariat,direct.cd
https://acpcongo.com/index.php/2021/12/26/president-felix-tshisekedi-promises-to-link-kasai-to-other-provinces-of-the-country/,2021-12-26,President Félix Tshisekedi promises to link Kasai to other provinces of the country,acpcongo.com
