url,date_published,title,newsorg
http://www.mauritiustimes.com/mt/putting-cop26-in-perspective/,2021-11-23,Putting COP26 in Perspective,mauritiustimes.com
http://www.mauritiustimes.com/mt/bidens-africa-policy-eu-global-gateway-initiative/,2021-11-23,Biden’s Africa policy & EU Global Gateway Initiative,mauritiustimes.com
http://www.mauritiustimes.com/mt/a-pandemic-of-armchair-experts-how-we-decide-who-and-what-to-believe/,2021-11-23,A pandemic of armchair experts: how we decide who and what to believe,mauritiustimes.com
http://www.maurice-info.mu/2021-11-22-eib-study-highlights-impact-of-covid-on-african-banks-and-business-financing.html,2021-11-22,EIB study highlights impact of COVID on African banks and business financing,maurice-info.mu
http://www.maurice-info.mu/2021-11-23-pending-the-11th-hour-by-charity-migwi.html,2021-11-23,Pending the 11th Hour (By Charity Migwi),maurice-info.mu
http://www.lemauricien.com/le-mauricien/yes-we-are-at-war-can-we-win-it-2/459902/,2021-11-25,"YES, WE ARE AT WAR… (Can we win it?)",lemauricien.com
http://www.maurice-info.mu/2021-11-26-malabo-montpellier-forum-post-event-press-conference.html,2021-11-26,Malabo Montpellier Forum Post-Event Press Conference,maurice-info.mu
http://www.maurice-info.mu/2021-11-26-decisions-du-conseil-des-ministres-du-26-novembre-2021.html,2021-11-26,Décisions du Conseil des Ministres du 26 novembre 2021,maurice-info.mu
https://inside.news/2021/11/27/a-new-world-order-and-india-by-harsh-vardhan-shringla/,2021-11-27,A New World Order and India,inside.news
https://inside.news/2021/11/28/changement-climatique-atelier-de-validation-du-first-biennial-update-report/,2021-11-28,Changement climatique,inside.news
http://www.mauritiustimes.com/mt/what-the-omicron-variant-means-for-the-covid-19-pandemic/,2021-11-30,What the Omicron Variant means for the Covid-19 Pandemic,mauritiustimes.com
https://www.maurice-info.mu/2021-12-01-blue-economy-in-africa.html,2021-12-01,Blue economy in Africa,maurice-info.mu
http://www.maurice-info.mu/2021-12-02-mozambique-conference-calls-for-revival-of-fishing-communities.html,2021-12-02,Mozambique conference calls for revival of fishing communities,maurice-info.mu
http://www.lemauricien.com/le-mauricien/an-order-that-looks-beyond-just-economics-prioritises-humans/461433/,2021-12-02,"An order that looks beyond just economics, prioritises humans",lemauricien.com
