url,date_published,title,newsorg
https://www.newtimes.co.rw/opinions/why-rwandans-must-care-about-climate-change,2021-11-24,Why Rwandans must care about climate change,newtimes.co.rw
https://www.newtimes.co.rw/news/world-bank-pledges-support-rwandas-post-covid-recovery,2021-11-25,World Bank pledges support to Rwanda’s post-Covid recovery,newtimes.co.rw
https://www.newtimes.co.rw/featured/featured-iprc-kitabi-launches-human-rights-and-conservation-module,2021-11-25,FEATURED: IPRC-Kitabi launches human rights and conservation module,newtimes.co.rw
https://www.newtimes.co.rw/featured/open-call-applications-cooking-energy-business-growth-fund-cebgf,2021-11-26,Open Call for Applications: Cooking Energy Business Growth Fund (CEBGF,newtimes.co.rw
https://www.newtimes.co.rw/featured/featured-world-vision-partners-eu-scale-africa-regreening-efforts-through-tree-planting,2021-11-26,FEATURED: World Vision partners with EU to scale up Africa Regreening efforts through tree planting,newtimes.co.rw
https://www.newtimes.co.rw/international/swedens-first-female-pm-returns-after-resignation,2021-11-29,Sweden's first female PM returns after resignation,newtimes.co.rw
https://www.newtimes.co.rw/entertainment/new-mural-address-environmental-sustainability,2021-11-30,New mural to address environmental sustainability,newtimes.co.rw
https://www.newtimes.co.rw/news/govt-engage-local-communities-management-small-natural-forests,2021-11-29,Govt to engage local communities in management of small natural forests,newtimes.co.rw
https://www.newtimes.co.rw/international/keynote-speech-he-xi-jinping-president-peoples-republic-china-opening-ceremony-eighth,2021-11-30,Keynote Speech by H.E. Xi Jinping President of the People’s Republic of China at the opening ceremony of the eighth ministerial conference of The Forum on China-Africa Cooperation,newtimes.co.rw
https://www.newtimes.co.rw/opinions/govts-must-meet-investors-expectations-climate-change-and-sustainability,2021-11-30,Govts must meet investors’ expectations on climate change and sustainability,newtimes.co.rw
http://www.rnanews.com/g77-fm-calls-for-making-health-crisis-opportunity-to-consolidate-multilateral-solidarity/,2021-12-01,G77: FM Calls for Making Health Crisis Opportunity to Consolidate Multilateral Solidarity,rnanews.com
https://rwandatoday.africa/rwanda/news/uganda-readies-for-disasters-as-ea-countries-rank-high-on-risk-index-3638572,2021-12-02,Uganda readies for disasters as EA countries rank high on risk index,rwandatoday.africa
https://www.newtimes.co.rw/news/senate-summons-prime-minister-over-issues-agriculture-exports,2021-12-03,Senate summons Prime Minister over issues in agriculture exports,newtimes.co.rw
