url,date_published,title,newsorg
https://wardheernews.com/somalia-declares-state-of-emergency-over-a-deadly-drought/,2021-11-23,Somalia declares state of emergency over a deadly drought,wardheernews.com
https://wardheernews.com/humanitarian-group-calls-for-urgent-help-as-somalia-drought-threatens-millions/,2021-11-24,Humanitarian group calls for urgent help as Somalia drought threatens millions,wardheernews.com
http://www.hiiraan.com/news/2021/Dec/wararka_maanta2-179535.htm,2021-02-12,Caruur Walaalo aheyd oo ku geeriyooday dagaal Xalay ka dhacay magaalada Baledweyne,hiiraan.com
http://www.hiiraan.com/news4/2021/dec/184717/turkish_aid_group_to_give_relief_amid_deadly_drought_in_somalia.aspx,2021-02-12,Turkish aid group to give relief amid deadly drought in Somalia,hiiraan.com
http://www.hiiraan.com/news/2021/Dec/wararka_maanta2-179537.htm,2021-02-12,Madaxweynaha Ruushka Putin oo u rajeeyay Soomaaliya guul ay ka gaarto dagaalka ka dhanka ah argagixisada,hiiraan.com
http://www.hiiraan.com/news/2021/Dec/wararka_maanta2-179539.htm,2021-02-12,Guddiga xallinta khilaafaadka doorashada oo jawaab ka bixiyay eedayn uga timid midowga musharraxiinta,hiiraan.com
https://radioergo.org/en/2021/12/somaliland-expert-advises-on-how-to-mitigate-effects-of-climate-change/,2021-12-06,Somaliland expert advises on how to mitigate effects of climate change,radioergo.org
https://wardheernews.com/eastern-africa-farmers-speak-out-on-cop26/,2021-12-06,Eastern Africa Farmers Speak Out on COP26,wardheernews.com
http://www.hiiraan.com/news4/2021/dec/184758/south_portland_selects_the_first_somali_american_mayor_in_u_s.aspx,2021-07-12,South Portland selects the first Somali-American mayor in U.S.,hiiraan.com
http://www.hiiraan.com/news4/2021/dec/184766/a_maine_city_that_s_90_white_now_has_a_somali_mayor.aspx,2021-08-12,A Maine city that's 90% White now has a Somali mayor,hiiraan.com
http://www.hiiraan.com/news4/2021/dec/184788/cheetah_cubs_threatened_by_pet_trade_global_warming_in_somaliland.aspx,2021-10-12,"Cheetah Cubs Threatened by Pet Trade, Global Warming in Somaliland",hiiraan.com
https://wardheernews.com/cheetah-cubs-threatened-by-pet-trade-global-warming-in-somaliland/,2021-12-10,"Cheetah cubs threatened by pet trade, global warming in Somaliland",wardheernews.com
https://mareeg.com/somalia-is-on-the-path-of-recovery-but-real-challenges-remain/,2021-12-22,"Somalia is on the path of recovery, but real challenges remain",mareeg.com
https://mareeg.com/somali-president-launches-igad-center-climate-adaptation/,2021-12-23,Somali president launches IGAD center climate adaptation,mareeg.com
https://wardheernews.com/somali-american-lawmaker-in-minnesota-sees-role-as-bridge-builder/,2021-11-16,Somali American Lawmaker in Minnesota Sees Role as Bridge Builder,wardheernews.com
https://wardheernews.com/milk-meat-and-might-in-somalia-the-camel-is-king/,2021-11-16,"Milk, meat and might: in Somalia, 'the camel is king'",wardheernews.com
http://www.hiiraan.com/news4/2021/Nov/184579/somali_american_lawmaker_in_minnesota_sees_role_as_bridge_builder.aspx,2021-11-16,Somali American Lawmaker in Minnesota Sees Role as Bridge Builder,hiiraan.com
https://wardheernews.com/somaliland-women-farmers-thriving-after-training-by-local-woman-mentor/,2021-11-16,Somaliland women farmers thriving after training by local woman mentor,wardheernews.com
http://www.hiiraan.com/news4/2021/Nov/184582/entrepreneurs_help_farmers_hold_back_somaliland_s_desert.aspx,2021-11-17,Entrepreneurs help farmers hold back Somaliland’s desert,hiiraan.com
https://wardheernews.com/security-climate-dominate-as-u-s-secretary-of-state-kicks-off-africa-tour/,2021-11-17,"Security, climate dominate as U.S. Secretary of State kicks off Africa tour",wardheernews.com
http://www.hiiraan.com/news/2021/Nov/wararka_maanta18-179386.htm,2021-11-18,Dowladda Soomaaliya oo cambaareysay weeraradii ka dhacay magaalada Kampala ee dalka Uganda,hiiraan.com
http://www.hiiraan.com/news/2021/Nov/wararka_maanta18-179387.htm,2021-11-18,Senator Yuusuf Geelle Ugaas (Dhageey) oo iska casilay kursigii xubinta aqalka sare,hiiraan.com
http://www.hiiraan.com/news/2021/Nov/wararka_maanta18-179390.htm,2021-11-18,"Raysal wasaare Rooble oo bogaadiyay go'aanka madaxweyne Qoorqoor, maamulada kalana codsi u diray",hiiraan.com
http://www.hiiraan.com/news/2021/Nov/wararka_maanta18-179388.htm,2021-11-18,Ciidamada dowladda oo toogasho ku dilay nin hubeysnaa oo dilay Ganacsade Caan ka ahaa degmada Dharkeenleey,hiiraan.com
