url,date_published,title,newsorg
https://www.newsday.co.zw/?p=3096224744086602,2021-11-23,Sanctions to remain in force until you revert to basics,newsday.co.zw
https://www.newzimbabwe.com/govt-moves-to-phase-out-plastic-bags-by-2022/,2021-11-23,Govt Moves To Phase Out Plastic Bags By 2022,newzimbabwe.com
https://bulawayo24.com/index-id-news-sc-national-byo-211947.html,2021-11-22,Hichilema to work with leaders from neighbouring countries,bulawayo24.com
https://bulawayo24.com/index-id-news-sc-national-byo-212030.html,2021-11-23,Work on 150MW coal project starts,bulawayo24.com
https://www.sundaynews.co.zw/all-set-for-zimbabwe-mining-investment-conference/,2021-11-24,All set for Zimbabwe Mining Investment Conference,sundaynews.co.zw
https://www.newsday.co.zw/2021/11/in-full-fortieth-post-cabinet-press-briefing-23rd-november-2021/,2021-11-24,"In full: Fortieth post cabinet press briefing 23rd November, 2021",newsday.co.zw
https://www.zimbabwesituation.com/news/sanctions-to-remain-in-force-until-you-revert-to-basics/,2021-11-24,Sanctions to remain in force until you revert to basics,zimbabwesituation.com
https://www.newzimbabwe.com/usaid-care-zimbabwe-launch-us15m-programme-to-47-000-covid-vulnerable-urban-dwellers/,2021-11-24,"USAID, CARE Zimbabwe Launch US$1,5m Programme To 47 000 Covid Vulnerable Urban Dwellers",newzimbabwe.com
https://www.chronicle.co.zw/18-drones-for-cpu-to-reach-flood-hit-areas/,2021-11-24,18 drones for CPU to reach flood-hit areas,chronicle.co.zw
https://www.chronicle.co.zw/second-republic-ushers-economic-transformation/,2021-11-24,Second Republic ushers economic transformation,chronicle.co.zw
https://bulawayo24.com/index-id-opinion-sc-columnist-byo-212060.html,2021-11-22,Councils can offer local solutions to climate change crisis,bulawayo24.com
https://www.zimbabwesituation.com/news/work-on-150mw-coal-project-starts/,2021-11-23,Work on 150MW coal project starts,zimbabwesituation.com
https://www.chronicle.co.zw/comment-international-events-should-leave-lasting-legacies/,2021-11-25,COMMENT: International events should leave lasting legacies,chronicle.co.zw
https://www.herald.co.zw/editorial-comment-zim-continues-to-move-back-into-global-relations/,2021-11-25,Editorial Comment: Zim continues to move back into global relations,herald.co.zw
https://www.zimeye.net/2021/11/25/mliswa-slams-togarepi-for-saying-britain-attacked-zimbabwe-yesterday/,2021-11-25,Mliswa Slams Togarepi For Saying Britain Attacked Zimbabwe Yesterday – ZimEye,zimeye.net
https://www.zimeye.net/2021/11/25/breaking-mwonzora-sen-arrested-for-assaulting-khupes-bodyguard/,2021-11-25,BREAKING: Mwonzora Sen Arrested for Assaulting Khupe’s Bodyguard – ZimEye,zimeye.net
https://www.zimbabwesituation.com/news/harmful-practices-by-big-corporates-major-cause-of-climate-change/,2021-11-25,Harmful practices by big corporates major cause of climate change,zimbabwesituation.com
https://www.zimbabwesituation.com/news/live-2022-national-budget-presentation/,2021-11-25,LIVE: 2022 National Budget Presentation,zimbabwesituation.com
https://www.newsday.co.zw/2021/11/live-2022-national-budget-presentation/,2021-11-25,LIVE: 2022 National Budget Presentation,newsday.co.zw
https://www.herald.co.zw/govt-launches-presidential-inputs-scheme-in-hopley/,2021-11-25,Govt launches Presidential Inputs Scheme in Hopley,herald.co.zw
https://www.herald.co.zw/haz-optimistic-on-tourism-recovery/,2021-11-25,HAZ optimistic on tourism recovery,herald.co.zw
https://www.sundaynews.co.zw/2022-budget-to-continue-from-2021-successes-prof-ncube/,2021-11-25,2022 budget to continue from 2021 successes: Prof Ncube,sundaynews.co.zw
https://www.newsday.co.zw/2021/11/old-mutual-injects-us20m-into-energy/,2021-11-25,Old Mutual injects US$20m into energy,newsday.co.zw
