url,date_published,title,newsorg
https://www.sundaystandard.info/bob-governor-btu-put-new-bpc-boss-on-the-spot/,2022-02-07,"BoB governor, BTU put new BPC boss on the spot",sundaystandard.info
https://www.weekendpost.co.bw/33489/newsletter/climate-change-newsletter-volume1-issue-01/,2022-02-08,Climate Change Newsletter Volume1- Issue 01,weekendpost.co.bw
https://www.thegazette.news/news/climate-change-outlook/,2022-02-15,The Botswana Gazette,thegazette.news
https://www.mmegi.bw/news/spying-bill-covid-19-likely-to-increase-insecurity/news,2022-02-15,"Spying bill, COVID-19 likely to increase insecurity",mmegi.bw
https://www.weekendpost.co.bw/33620/business/botswana-may-record-increased-investment/,2022-02-22,Botswana may record increased investment,weekendpost.co.bw
https://www.weekendpost.co.bw/33626/business/lea-ceo-calls-out-barriers-in-food-production/,2022-02-22,LEA CEO calls out barriers in food production,weekendpost.co.bw
https://www.sundaystandard.info/vegetables-ban-informal-traders-find-it-hard-to-source-fresh-produce/,2022-03-08,Vegetables ban: Informal traders find it hard to source fresh produce,sundaystandard.info
https://businessweekly.co.bw/news/engineers-critical-to-4ir-molale/,2022-03-09,Engineers critical to 4IR – Molale,businessweekly.co.bw
https://www.sundaystandard.info/climate-change-report-cautions-on-irrevocable-global-warming-impacts/,2022-03-10,Climate Change: Report cautions on ‘irrevocable’ global warming impacts,sundaystandard.info
https://businessweekly.co.bw/news/alexander-sees-covid-19-as-a-threat-to-sdg-5/,2022-03-11,Alexander sees COVID-19 as a threat to SDG 5,businessweekly.co.bw
https://www.sundaystandard.info/diss-is-khamas-own-frankenstein-monster-former-us-envoy/,2022-03-28,DISS is Khama’s own Frankenstein monster – former US envoy,sundaystandard.info
https://www.sundaystandard.info/here-is-how-to-turn-your-sunday-standard-copy-into-a-pencil/,2022-03-28,Here is how to turn your Sunday Standard copy into a pencil,sundaystandard.info
https://www.weekendpost.co.bw/33927/news/botswana-maintains-favourable-ranking-on-terrorism-index/,2022-03-28,Botswana maintains favourable ranking on Terrorism Index,weekendpost.co.bw
https://businessweekly.co.bw/news/botswana-performs-poorly-in-africas-agricultural-plan/,2022-03-31,Botswana performs poorly in Africa’s Agricultural Plan,businessweekly.co.bw
https://businessweekly.co.bw/columns/the-brand-equity/branding-citiesreally,2022-04-01,Branding cities…really?,businessweekly.co.bw
https://businessweekly.co.bw/in-business-with/fnbb-expresses-appetite-for-green-financing,2022-04-05,FNBB expresses appetite for green financing,businessweekly.co.bw
https://www.weekendpost.co.bw/34005/news/botswana-minerals-policy-goes-green/,2022-04-06,Botswana minerals policy goes green,weekendpost.co.bw
https://www.sundaystandard.info/an-unsecure-food-security-in-volatile-times/,2022-04-13,An unsecure food security in volatile times,sundaystandard.info
https://businessweekly.co.bw/in-business-with/cultivating-a-green-economy-with-lindiwe-modise,2022-04-13,Cultivating a green economy with Lindiwe Modise,businessweekly.co.bw
https://news.thevoicebw.com/the-rough-reality-of-inflation/,2022-04-19,The rough reality of inflation,thevoicebw.com
https://www.weekendpost.co.bw/34125/news/women-slam-sexual-offenders-register/,2022-04-20,Women slam Sexual Offenders Register,weekendpost.co.bw
https://www.weekendpost.co.bw/34124/news/tk-inducts-guma-goya-into-bpf-nec/,2022-04-20,"TK inducts Guma, Goya into BPF NEC",weekendpost.co.bw
https://www.weekendpost.co.bw/34114/news/botswanas-food-security-under-threat/,2022-04-20,Botswana’s food security under threat,weekendpost.co.bw
https://www.weekendpost.co.bw/34190/news/bocongo-gays-blast-constitutional-review-commission/,2022-04-26,"BOCONGO, Gays blast constitutional review commission",weekendpost.co.bw
https://www.weekendpost.co.bw/34192/news/govt-forges-ahead-with-controversial-chobe-national-park-developments/,2022-04-26,Gov’t forges ahead with controversial Chobe National Park developments,weekendpost.co.bw
https://www.weekendpost.co.bw/34191/news/nkate-snubs-battle-with-saleshando/,2022-04-26,Nkate snubs battle with Saleshando,weekendpost.co.bw
https://www.weekendpost.co.bw/34187/news/teachers-youth-implicated-in-business-failures-report/,2022-04-26,"Teachers, youth implicated in business failures-Report",weekendpost.co.bw
