url,date_published,title,newsorg
https://shabait.com/2022/02/05/development-work-is-taking-place-in-eritrea-according-to-its-own-national-vision-mr-yacoub/,2022-02-05,"“Development Work is Taking Place in Eritrea According to its Own National Vision”, Mr. Yacoub",shabait.com
https://shabait.com/2022/03/05/a-glimpse-into-the-cultural-heritage-of-the-nakfa-trenches-2/,2022-03-05,A Glimpse into the Cultural Heritage of the Nakfa Trenches,shabait.com
https://shabait.com/2022/03/07/biodiversity-elephants-of-africa/,2022-03-07,Biodiversity: Elephants of Africa,shabait.com
https://shabait.com/2022/03/30/greening-campaigns-to-restore-ecosystem/,2022-03-30,Greening Campaigns to Restore Ecosystem,shabait.com
https://shabait.com/2022/04/07/central-region-success-in-reforestation/,2022-04-07,Central Region: Success in Reforestation,shabait.com
https://shabait.com/2022/04/27/workshop-to-boost-contribution-of-partners-in-redressing-environment/,2022-04-27,Workshop to boost contribution of partners in redressing environment,shabait.com
https://shabait.com/2022/01/15/interview-of-president-isaias-afwerki-with-local-media-part-i-abridged/,2022-01-15,INTERVIEW OF PRESIDENT ISAIAS AFWERKI WITH LOCAL MEDIA Part I (Abridged),shabait.com
https://asenatv.com/veronica-almedom-announced-as-new-obama-foundation-europe-leader/,2022-01-18,Veronica Almedom – Announced as New Obama Foundation Europe Leader,asenatv.com
https://shabait.com/2022/06/03/statement-delivered-by-the-delegation-of-eritrea-at-the-international-meeting-stockholm-50-a-healthy-planet-for-the-prosperity-of-all-our-responsibility-our-opportunity/,2022-06-03,"Statement delivered by the Delegation of Eritrea at the International Meeting, “Stockholm+ 50: a Healthy Planet for the Prosperity of All – Our responsibility, Our opportunity” 2-3 June, 2022",shabait.com
https://shabait.com/2022/06/03/opening-statement-made-by-mr-tesfai-gebreselassie-minister-of-land-water-and-environment-to-the-gathering-held-to-mark-world-environment-day-asmara03-june-2022/,2022-06-03,"Opening Statement made by Mr. Tesfai Gebreselassie, Minister of Land, Water and Environment to the Gathering Held to Mark World Environment Day, Asmara,03 June 2022",shabait.com
https://shabait.com/2022/06/07/eritrea-participates-at-the-32nd-session-of-the-commission-for-controlling-the-desert-locust-in-the-central-region-and-its-36th-executive-committee-meeting/,2022-06-07,Eritrea Participates at the 32nd Session of the Commission for Controlling the Desert Locust in the Central Region and its 36th Executive Committee Meeting,shabait.com
