url,date_published,title,newsorg
https://www.namibiansun.com/news/company-news-in-brief2022-01-25,2022-01-25,COMPANY NEWS IN BRIEF,namibiansun.com
https://economist.com.na/67631/special-focus/2022-sadc-aims-for-deeper-integration/,2022-01-20,2022 – SADC aims for deeper integration,economist.com.na
https://economist.com.na/67414/columns/the-worlds-pool-of-underutilised-labour-is-coming-to-an-end/,2022-01-20,The world’s pool of underutilised labour is coming to an end,economist.com.na
https://economist.com.na/67398/special-focus/marking-the-end-of-an-era-opec-secretary-general-barkindo-served-with-distinction/,2022-01-20,Marking the end of an era: OPEC Secretary General Barkindo served with distinction,economist.com.na
https://economist.com.na/67385/retail/coca-cola-launches-new-sustainability-platform-in-africa/,2022-01-20,Coca-Cola launches new sustainability platform in Africa,economist.com.na
https://economist.com.na/67665/perspectives/feeling-optimistic-about-2022-most-business-leaders-are/,2022-01-20,Feeling optimistic about 2022? Most business leaders are,economist.com.na
https://economist.com.na/67662/special-focus/organisers-of-earth-day-announce-theme-for-2022/,2022-01-20,Organisers of Earth Day announce theme for 2022,economist.com.na
https://economist.com.na/67652/environment/training-programme-on-climate-change-for-small-scale-farmers-in-khorixas-concludes/,2022-01-20,Training programme on climate change for small-scale farmers in Khorixas concludes,economist.com.na
https://www.namibiansun.com/news/kunene-trainers-coached-on-early-warning-systems2022-01-31,2022-01-31,Kunene trainers coached on early warning systems,namibiansun.com
https://www.namibian.com.na/index.php?page=read&id=109573,2022-01-31,Can Namibia Learn from Egypt's Aquaculture Industry?,namibian.com.na
https://www.namibiansun.com/news/good-today-better-tomorrow2022-02-01,2022-02-01,Good Today. Better Tomorrow,namibiansun.com
https://www.republikein.com.na/nuus/weak-credit-uptake-expected-to-persist-in-20222022-02-02,2022-02-01,Weak credit uptake expected to persist in 2022,republikein.com.na
https://www.republikein.com.na/nuus/ceo-optimism-hits-10-year-high2022-02-02,2022-02-01,CEO optimism hits 10-year high,republikein.com.na
https://www.namibian.com.na/index.php?page=read&id=109596,2022-01-31,Nam to promote artisanal fisheries and aquaculture,namibian.com.na
https://www.namibiansun.com/news/weak-credit-uptake-expected-to-persist-in-20222022-02-02,2022-02-02,Weak credit uptake expected to persist in 2022,namibiansun.com
https://www.namibiansun.com/news/ceo-optimism-hits-10-year-high2022-02-02,2022-02-02,CEO optimism hits 10-year high,namibiansun.com
