url,date_published,title,newsorg
https://eyeradio.org/s-sudan-labeled-among-countries-with-alarming-hunger/,2022-01-27,S. Sudan labeled among countries with alarming hunger,eyeradio.org
https://eyeradio.org/finance-minister-achuil-tables-ssp278-billion-budget/,2022-02-02,Finance Minister Achuil tables SSP 278 billion budget,eyeradio.org
https://www.jubamonitor.com/death-knell-in-wetlands-due-to-oil-exploration/,2022-02-03,DEATH-Knell in wetlands due to oil exploration,jubamonitor.com
https://eyeradio.org/why-president-salva-kiir-failed-to-attend-au-summit/,2022-02-05,Why President Salva Kiir failed to attend AU summit,eyeradio.org
https://eyeradio.org/eu-launches-project-worth-e208m-to-support-development-in-s-sudan/,2022-02-17,EU launches project worth €208M to support development in S. Sudan,eyeradio.org
https://www.jubamonitor.com/eu-allocates-two-million-euros-for-flood-victims/,2022-02-22,EU allocates two million euros for flood victims,jubamonitor.com
https://eyeradio.org/us-reiterates-its-commitment-to-continue-supporting-african-countries/,2022-03-04,US reiterates its commitment to continue supporting African countries,eyeradio.org
https://eyeradio.org/governor-cleto-urges-residents-to-desist-from-cutting-of-trees/,2022-03-07,Governor Cleto urges residents to desist from cutting of trees,eyeradio.org
https://eyeradio.org/why-some-youth-dont-want-jur-river-bridge-renamed-after-clement-mboro/,2022-03-08,Why some youth don’t want Jur River Bridge renamed after Clement Mboro,eyeradio.org
https://www.jubamonitor.com/private-schools-warned-not-to-adhere-to-academic-calendar/,2022-03-09,Private Schools warned not to adhere to academic calendar,jubamonitor.com
https://www.jubamonitor.com/unhcr-devoted-to-lessening-climatic-and-environmental-threats-in-s-sudan/,2022-03-12,UNHCR devoted to lessening climatic and environmental threats in S. Sudan,jubamonitor.com
https://www.jubamonitor.com/climate-change-is-another-big-threat/,2022-03-14,CLIMATE CHANGE IS ANOTHER BIG THREAT,jubamonitor.com
https://eyeradio.org/security-council-renews-unmiss-mandate-for-another-year/,2022-03-16,Security Council renews UNMISS mandate for another year,eyeradio.org
https://eyeradio.org/womens-leaders-from-south-sudan-head-to-new-york-for-un-meeting/,2022-03-17,Women's leaders from South Sudan head to New York for UN meeting,eyeradio.org
https://eyeradio.org/parliament-passes-ssp-338-billion-budget-for-2021-2022/,2022-03-17,Parliament passes SSP 338 billion budget for 2021/2022,eyeradio.org
https://www.jubamonitor.com/unity-state-at-risk-of-being-reduced-to-islands-in-coming-rainy-season/,2022-03-16,Unity State at risk of being reduced to islands in coming rainy season,jubamonitor.com
https://www.jubamonitor.com/faith-based-leaders-cso-convenes-high-level-panel-discussion-in-juba/,2022-03-16,"Faith-based leaders, CSO convenes high-level panel discussion in Juba",jubamonitor.com
https://www.eyeradio.org/gutterres-warns-of-climate-disaster-if-world-leaders-take-no-action/,2022-04-06,Gutterres warns of climate disaster if world leaders take no action,eyeradio.org
https://www.jubamonitor.com/planting-of-10-million-trees-launched-in-juba/,2022-04-18,Planting of 10 million trees launched in Juba,jubamonitor.com
https://www.eyeradio.org/nbs-launches-2-million-fruit-trees-planting-initiative/,2022-04-26,NBS launches 2 million fruit trees planting initiative,eyeradio.org
https://www.jubamonitor.com/e-equatoria-warns-of-hunger-in-most-of-the-counties-after-poor-harvest/,2022-01-13,E. Equatoria warns of hunger in most of the counties after poor harvest,jubamonitor.com
https://eyeradio.org/uk-announces-23m-for-floods-and-droughts-in-ea-including-south-sudan/,2022-01-17,UK announces $23m for floods and droughts in EA including South Sudan,eyeradio.org
https://www.jubamonitor.com/cepo-worried-over-govt-response-to-flood/,2022-01-25,CEPO worried over gov’t response to flood,jubamonitor.com
https://www.eyeradio.org/enacting-idps-bill-shouldnt-delay-un-rapporteur-tells-govt/,2022-04-23,"Enacting IDPs bill shouldn't delay, UN Rapporteur tells govt",eyeradio.org
https://www.eyeradio.org/flood-mitigation-project-launched-in-jonglei/,2022-05-09,Flood mitigation project launched in Jonglei,eyeradio.org
https://www.eyeradio.org/sexual-violence-on-increase-in-s-sudan-says-unmiss/,2022-05-10,"Sexual violence on increase in S. Sudan, says UNMISS",eyeradio.org
https://www.eyeradio.org/govt-invites-veteran-environmental-expert-to-lecture-on-nile-water-saga/,2022-06-08,Govt invites veteran environmental expert to lecture on Nile water saga,eyeradio.org
https://www.eyeradio.org/unicef-concludes-sustainable-development-program-in-three-states/,2022-06-10,"UNICEF, partners conclude sustainable development program in three states.",eyeradio.org
https://www.eyeradio.org/aah-to-innovate-floating-gardens-in-floods-pron-areas/,2022-06-11,AAH to innovate floating gardens in floods pron areas,eyeradio.org
https://www.eyeradio.org/world-bank-approves-129m-grant-for-s-sudan/,2022-06-11,World Bank approves $129m grant for S. Sudan,eyeradio.org
https://www.eyeradio.org/forum-says-no-to-dredging-without-feasibility-study/,2022-07-08,Experts say no to dredging without feasibility study,eyeradio.org
https://www.eyeradio.org/govt-to-implement-floods-mitigation-strategy-after-securing-millions-in-funding/,2022-07-13,Gov't to implement floods mitigation strategy after securing millions in funding,eyeradio.org
https://www.eyeradio.org/public-consultation-calls-for-credible-feasibility-studies-before-dredging/,2022-07-15,Public consultation calls for credible feasibility studies before dredging,eyeradio.org
https://www.eyeradio.org/researchers-advise-govt-to-develop-long-term-water-policy/,2022-07-18,Researchers advise govt to develop long-term water policy,eyeradio.org
https://www.eyeradio.org/50-million-at-brink-of-famine-in-seven-igad-countries-report/,2022-07-23,"50 million at brink of famine in seven IGAD countries, report",eyeradio.org
https://www.eyeradio.org/president-kiir-in-uganda-for-regional-conference/,2022-07-28,President Kiir in Uganda for regional conference,eyeradio.org
