url,date_published,title,newsorg
https://www.thecitizen.co.tz/tanzania/news/africa/malawi-s-government-suspends-schools-over-tropical-cyclone-ana-3694004,2022-01-25,Malawi's government suspends schools over tropical cyclone Ana,thecitizen.co.tz
https://www.thecitizen.co.tz/tanzania/oped/geothermal-power-the-renewable-alternative-that-can-t-be-microwaved-3693566,2022-01-25,Geothermal Power: The renewable alternative that can’t be ‘microwaved,thecitizen.co.tz
https://www.theeastafrican.co.ke/tea/news/east-africa/top-eu-diplomat-josep-fontelles-in-nairobi-3697054,2022-01-28,Top EU diplomat Josep Fontelles arrives in Nairobi,theeastafrican.co.ke
https://www.theeastafrican.co.ke/tea/science-health/africa-needs-leaders-who-will-change-food-production-systems-3697368,2022-01-28,Africa’s nutrition security needs leaders who will change food production systems,theeastafrican.co.ke
https://www.theeastafrican.co.ke/tea/news/east-africa/kenya-eu-launch-talks-to-elevate-ties-beyond-aid-3698584,2022-01-29,"Kenya, EU launch talks to elevate ties ‘beyond aid’",theeastafrican.co.ke
https://www.thecitizen.co.tz/tanzania/news/new-blueprint-on-horticulture-eyes-1bn-in-export-earnings-3700386,2022-01-31,New Blueprint on Horticulture eyes $1bn in export earnings,thecitizen.co.tz
https://www.thecitizen.co.tz/tanzania/news/business/chinese-french-oil-majors-seal-10-billion-deal-for-uganda-megaproject-3701938,2022-02-01,"Chinese, French oil majors seal $10 billion deal for Uganda megaproject",thecitizen.co.tz
https://www.theeastafrican.co.ke/tea/news/east-africa/rwanda-set-to-host-commonwealth-meeting-in-june-3701454,2022-02-01,Rwanda set to host Commonwealth meeting in June,theeastafrican.co.ke
https://www.thecitizen.co.tz/tanzania/news/business/chinese-french-oil-majors-seal-10-billion-deal-for-tanzania-uganda-megaproject-3701938,2022-02-02,"Chinese, French oil majors seal $10 billion deal for Tanzania, Uganda megaproject",thecitizen.co.tz
https://www.theeastafrican.co.ke/tea/business/kenya-locks-out-diesel-buses-from-brt-project-3702482,2022-02-02,Kenya locks out diesel buses from lucrative BRT project,theeastafrican.co.ke
https://www.theeastafrican.co.ke/tea/news/east-africa/chinese-french-oil-10b-deal-tanzania-uganda-megaproject-3702822,2022-02-02,"Chinese, French oil majors seal $10 billion deal for Tanzania, Uganda megaproject",theeastafrican.co.ke
https://www.theeastafrican.co.ke/tea/oped/comment/cardinal-duty-of-officials-is-to-secure-livelihoods-not-votes-3703996,2022-02-03,"The cardinal duty of officials is to secure livelihoods, not votes",theeastafrican.co.ke
https://www.theeastafrican.co.ke/tea/science-health/food-insecurity-africa-3703838,2022-02-03,"Africa’s hungry increase as Covid, conflict and climate change worsen food insecurity",theeastafrican.co.ke
