url,date_published,title,newsorg
https://www.dailynewsegypt.com/2023/01/03/over-use-of-antibiotics-kills-thousands-annually-in-egypt-and-sudan/,2023-01-03,Over-use of antibiotics kills thousands annually in Egypt and Sudan,dailynewsegypt.com
https://www.dailynewsegypt.com/2023/01/03/state-exits-62-economic-activities-to-leave-room-for-private-sector-finance-minister/,2023-01-03,State exits 62 economic activities to leave room for private sector: Finance Minister,dailynewsegypt.com
https://www.egyptindependent.com/last-surviving-apollo-7-astronaut-has-died/,2023-01-04,Last surviving Apollo 7 astronaut has died,egyptindependent.com
https://www.egyptindependent.com/egyps-2023-set-to-drive-the-energy-transition-conversation-and-address-the-reshaping-of-global-markets/,2023-01-09,EGYPS 2023 set to drive the energy transition conversation and address the reshaping of global markets,egyptindependent.com
https://www.egyptindependent.com/lightning-in-the-cataclysmic-tonga-volcano-eruption-shattered-all-records/,2023-01-09,Lightning in the ‘cataclysmic’ Tonga volcano eruption shattered ‘all records’,egyptindependent.com
https://www.egyptindependent.com/a-world-rapidly-warming-the-past-eight-years-were-the-eight-warmest-on-record-for-planet/,2023-01-10,‘A world rapidly warming’: The past eight years were the eight warmest on record for planet,egyptindependent.com
https://www.egyptindependent.com/dead-nasa-satellite-returns-to-earth-after-38-years/,2023-01-10,Dead NASA satellite returns to Earth after 38 years,egyptindependent.com
https://www.aljazeera.net/science/2023/1/11/%d9%85%d8%ad%d9%8a%d8%b7%d8%a7%d8%aa-%d8%a7%d9%84%d8%a7%d8%b1%d8%b6-%d8%aa%d9%88%d8%a7%d8%ac%d9%87-%d9%83%d8%a7%d8%b1%d8%ab%d8%a9-%d8%b6%d8%a7%d8%b1%d9%8a%d8%a9-%d8%b9%d8%a7%d9%85-2300,2023-01-11,كيف ستواجه محيطات الأرض كارثة ضارية عام 2300؟,aljazeera.net
https://egyptianstreets.com/2023/01/11/new-mansoura/,2023-01-11,New Mansoura City: The Latest Urban Addition to the Mediterranean Coast,egyptianstreets.com
https://www.egyptindependent.com/global-risks-report-2023-urges-on-collaborative-action-to-counter-cost-of-living-crisis/,2023-01-12,Global Risks Report 2023 urges on collaborative action to counter cost of living crisis,egyptindependent.com
https://www.egyptindependent.com/uae-appoints-oil-company-boss-as-president-of-the-cop28-climate-conference-alarming-climate-groups/,2023-01-13,"UAE appoints oil company boss as president of the COP28 climate conference, alarming climate groups",egyptindependent.com
https://www.egyptindependent.com/egypt-saudi-arabia-call-for-continuing-bilateral-coordination-to-face-challenges/,2023-01-13,"Egypt, Saudi Arabia call for continuing bilateral coordination to face challenges",egyptindependent.com
https://www.egyptindependent.com/uae-appoints-oil-company-boss-as-president-of-the-cop28-climate-conference-alarming-climate-groups-2/,2023-01-13,"UAE appoints oil company boss as president of the COP28 climate conference, alarming climate groups",egyptindependent.com
