url,date_published,title,newsorg
http://www.times.co.sz/news/138458-eswatini-to-benefit-from-japan%E2%80%99s-e2.3bn.html,2023-01-17,Times Of Swaziland,times.co.sz
http://www.times.co.sz/letters/138588-problems-are-born-with-accompanying-solutions.html,2023-01-25,Times Of Swaziland,times.co.sz
http://www.times.co.sz/news/138622-more-maize-shortage-price-hikes-predicted.html,2023-01-27,Times Of Swaziland,times.co.sz
http://www.times.co.sz/news/138668-red-cross%E2%80%99s-e67m-emergency-plan.html,2023-01-30,Times Of Swaziland,times.co.sz
http://www.times.co.sz/news/138897-eswatini-among-first-countries-for-us-green-energy-funding.html,2023-02-13,Times Of Swaziland,times.co.sz
http://www.times.co.sz/news/138894-roads-damage-no-classes-for-11-schools.html,2023-02-13,Times Of Swaziland,times.co.sz
http://www.times.co.sz/business/139063-experts-on-budget-speech-focus-on-sacu-capital-expenditure.html,2023-02-23,Times Of Swaziland,times.co.sz
http://www.times.co.sz/feature/139098-revelations-of-%E2%80%98the-dark-side-of-green-energy%E2%80%99.html,2023-02-25,Times Of Swaziland,times.co.sz
http://www.times.co.sz/thinking-out-of-the-box/139276-we-are-goaless-without-reality.html,2023-03-11,Times Of Swaziland,times.co.sz
http://www.times.co.sz/feature/139295-sweet-investors-denied-justice.html,2023-03-13,Times Of Swaziland,times.co.sz
http://www.times.co.sz/the-female-voice/139349-getting-rid-of-the-cluster.html,2023-03-17,Times Of Swaziland,times.co.sz
http://www.times.co.sz/business/140438-e19-2m-filling-station-opens-tuesday.html,2023-06-04,Times Of Swaziland,times.co.sz
http://www.times.co.sz/feature/140674-plight-of-emaswati-trapped-in-poverty-with-no-hope-of-change.html,2023-06-19,Times Of Swaziland,times.co.sz
http://www.times.co.sz/news/140783-start-voter-registration-afresh-%E2%80%93-mps.html,2023-06-30,Times Of Swaziland,times.co.sz
http://www.times.co.sz/business/140774-sacu-should-increase-african-trade-in-goods-services.html,2023-06-30,Times Of Swaziland,times.co.sz
http://www.times.co.sz/news/140893-eswatini-has-3-months-to-prepare-for-el-nino.html,2023-07-07,Times Of Swaziland,times.co.sz
http://www.times.co.sz/feature/141199-no-joke-you-can-choke.html,2023-07-27,Times Of Swaziland,times.co.sz
http://www.times.co.sz/news/141497-king-off-to-43rd-sadc-summit.html,2023-08-17,Times Of Swaziland,times.co.sz
http://www.times.co.sz/news/141965-coups-conflicts-need-unified-solution-king.html,2023-09-22,Times Of Swaziland,times.co.sz
http://www.times.co.sz/news/142288-unemployment-contributes-economist.html,2023-10-17,Times Of Swaziland,times.co.sz
http://www.times.co.sz/news/142384-drama-as-microphone-grabbed-from-audp-sg-at-sibaya.html,2023-10-25,Times Of Swaziland,times.co.sz
http://www.times.co.sz/news/142801-restoration-of-peace-security-top-priority-pm.html,2023-11-28,Times Of Swaziland,times.co.sz
http://www.times.co.sz/news/142979-storm-batters-home-family-hides-under-bed.html,2023-12-10,Times Of Swaziland,times.co.sz
http://www.times.co.sz/feature/142784-as-we-prepare-for-cop28%E2%80%A6.html,2023-11-27,Times Of Swaziland,times.co.sz
http://www.times.co.sz/news/142768-pm%E2%80%99s-statement-sets-govt-policy.html,2023-11-25,Times Of Swaziland,times.co.sz
http://www.times.co.sz/business/142688-calls-to-establish-development-banks.html,2023-11-21,Times Of Swaziland,times.co.sz
