url,date_published,title,newsorg
https://www.sierraleonepress.com/world-welcomes-2023-leaves-stormy-year-behind/,2023-01-03,"World Welcomes 2023, Leaves Stormy Year Behind",sierraleonepress.com
https://www.thesierraleonetelegraph.com/freetown-mayor-aki-sawyerr-spreads-the-true-spirit-of-giving-and-kindness/,2023-01-01,Freetown Mayor Aki-Sawyerr spreads the true spirit of giving and kindness,thesierraleonetelegraph.com
http://www.thepatrioticvanguard.com/africell-launches-klin-energy-project,2023-01-04,Africell launches Klin Energy project,thepatrioticvanguard.com
http://www.thepatrioticvanguard.com/museum-of-the-african-diaspora-announces-new-chef-in-residence-12148,2023-01-04,Museum of the African Diaspora announces new Chef-in-Residence,thepatrioticvanguard.com
http://www.sierraleonetimes.com/news/273324187/china-aided-academy-handed-over-to-sierra-leone,2023-01-07,China-aided academy handed over to Sierra Leone,sierraleonetimes.com
http://www.sierraleonetimes.com/news/273324140/ivorian-troops-on-trial-in-mali-amid-push-for-diplomatic-end-to-row,2023-01-07,Ivorian troops on trial in Mali amid push for diplomatic end to row,sierraleonetimes.com
https://cocorioko.net/is-foreign-service-academy-just-another-white-elephant-to-boost-the-ego-of-sierra-leones-political-leaders/,2023-01-07,Is Foreign Service Academy just another white elephant to boost the ego of Sierra Leone’s political leaders?,cocorioko.net
http://www.sierraleonenews.net/news/273347016/security-situation-in-sahel-has-worsened-un-envoy,2023-01-11,Security situation in Sahel has worsened: UN envoy,sierraleonenews.net
http://www.sierraleonenews.net/news/273347920/chinese-envoy-calls-for-intl-support-for-west-africa-sahel,2023-01-11,"Chinese envoy calls for int&#039;l support for West Africa, Sahel",sierraleonenews.net
https://slconcordtimes.com/tik-tok-boom-inflation-shockwaves-water-stress-among-2023-top-risks/,2023-01-11,"Tik Tok Boom, Inflation shockwaves, Water Stress, among 2023 top risks",slconcordtimes.com
https://www.switsalone.com/43456_sierra-leonean-innovator-jeremiah-thoronka-graduates-with-a-master-of-science-degree-in-sustainability-energy-and-development-from-durham-university/,2023-01-11,"Sierra Leonean innovator, Jeremiah Thoronka graduates with a Master of Science Degree in Sustainability, Energy, and Development from Durham University",switsalone.com
https://www.sierraleonepress.com/unprecedented-insecurity-in-west-africa-and-the-sahel-security-council-hears/,2023-01-11,"‘Unprecedented’ insecurity in West Africa and the Sahel, Security Council hears",sierraleonepress.com
http://www.sierraleonetimes.com/news/273357129/14-soldiers-killed-in-twin-terrorist-attacks-in-central-mali,2023-01-13,14 soldiers killed in twin terrorist attacks in central Mali,sierraleonetimes.com
http://www.sierraleonetimes.com/news/273357044/analysis-bayern-going-all-in-to-realize-ambitious-season-goals,2023-01-13,Analysis: Bayern going &quot;all-in&quot; to realize ambitious season goals,sierraleonetimes.com
http://www.sierraleonetimes.com/news/273356866/simultaneous-militant-attacks-kill-14-malian-soldiers,2023-01-13,Simultaneous Militant Attacks Kill 14 Malian Soldiers,sierraleonetimes.com
https://www.sierraleonepress.com/climate-action-whats-new-and-whats-next-in-2023/,2023-01-14,Climate action: what’s new and what’s next in 2023,sierraleonepress.com
