url,date_published,title,newsorg
https://foroyaa.net/environment-ministry-holds-retreat-on-various-challenges-way-forward/,2023-01-11,"Environment Ministry Holds Retreat On Various Challenges, Way Forward",foroyaa.net
https://thepoint.gm/africa/gambia/headlines/sharp-long-lasting-slowdown-to-hit-developing-countries-hard-2023-global-growth-to-slow-to-1-7-from-3-expected-six-months-ago,2023-01-12,"Sharp, Long-lasting Slowdown to Hit Developing Countries Hard. 2023 global growth to slow to 1.7% from 3% expected six months ago",thepoint.gm
https://standard.gm/state-and-society-in-the-gambia-since-independence/,2023-01-13,State And Society In The Gambia Since Independence: – The Gambia,standard.gm
https://standard.gm/giz-ecowas-naccug-give-startup-kits-to-over-60-artisanal-local-fish-processors-in-gunjur-sanyang/,2023-01-16,"GIZ ECOWAS, NACCUG Give Startup Kits To Over 60 Artisanal Local Fish Processors In Gunjur, Sanyang – The Gambia",standard.gm
https://standard.gm/govt-to-bring-back-monthly-set-settal/,2023-01-17,Gov't To Bring Back Monthly ‘set-settal’ – The Gambia,standard.gm
https://thepoint.gm/africa/gambia/headlines/govt-holds-political-dialogue-with-eu,2023-01-18,Gov’t holds political dialogue with EU,thepoint.gm
https://standard.gm/political-dialogue-between-the-government-of-the-gambia-and-the-european-union/,2023-01-19,Political Dialogue Between The Government Of The Gambia And The European Union – The Gambia,standard.gm
https://thepoint.gm/africa/gambia/headlines/gra-updates-journalists-on-uganda-mission,2023-01-19,GRA updates journalists on Uganda mission,thepoint.gm
https://thepoint.gm/africa/gambia/headlines/gambia-govt-eu-discuss-democracy-rule-of-law,2023-01-20,"Gambia Gov’t, EU discuss democracy, rule of law",thepoint.gm
https://foroyaa.net/president-barrow-opens-condolence-book-in-honour-of-late-vp-joof/,2023-01-20,President Barrow Opens Condolence Book In Honour Of Late VP Joof,foroyaa.net
https://foroyaa.net/mofea-hosts-ministers-on-taa-steering-committee/,2023-01-19,MoFEA Hosts Ministers On TAA Steering Committee,foroyaa.net
https://gainako.com/world-bank-sharp-long-lasting-slowdown-to-hit-developing-countries-hard/?utm_source=rss&utm_medium=rss&utm_campaign=world-bank-sharp-long-lasting-slowdown-to-hit-developing-countries-hard,2023-01-22,"World Bank: Sharp, Long-lasting Slowdown to Hit Developing Countries Hard",gainako.com
https://standard.gm/combatting-climate-change-and-promoting-sustainable-development-through-greening-the-economy/,2023-01-26,Combatting Climate Change And Promoting Sustainable Development Through Greening The Economy – The Gambia,standard.gm
https://thepoint.gm/africa/gambia/headlines/walic-nari-present-animal-health-bill-2020-for-review,2023-01-27,"WALIC, NARI present Animal Health Bill 2020 for review",thepoint.gm
https://standard.gm/africa-needs-to-learn-to-feed-itself-says-macky-sall/,2023-01-27,"Africa Needs To Learn To Feed Itself, Says Macky Sall – The Gambia",standard.gm
https://foroyaa.net/nari-deputy-director-says-livestock-dept-incapacitated-in-performance/,2023-01-27,NARI Deputy Director Says Livestock Dept. Incapacitated In Performance,foroyaa.net
https://gainako.com/world-bank-sub-saharan-africa-facing-food-inflation-reduced-economic-growth/?utm_source=rss&utm_medium=rss&utm_campaign=world-bank-sub-saharan-africa-facing-food-inflation-reduced-economic-growth,2023-01-29,World Bank: Sub-Saharan Africa Facing Food Inflation & Reduced Economic Growth,gainako.com
https://thepoint.gm/africa/gambia/headlines/govt-redeploys-appoints-senior-officials,2023-01-31,"Gov’t redeploys, appoints senior officials",thepoint.gm
https://standard.gm/gen-bojang-appointed-defense-attache-in-bissau/,2023-01-31,Gen. Bojang Appointed Defense Attaché In Bissau – The Gambia,standard.gm
https://thepoint.gm/africa/gambia/headlines/animal-bill-will-empower-livestock-authorities-dr-jallow,2023-02-02,Animal bill will empower livestock authorities,thepoint.gm
https://thepoint.gm/africa/gambia/headlines/gra-indebted-to-gambian-media,2023-02-06,‘GRA indebted to Gambian media’,thepoint.gm
https://foroyaa.net/president-lays-foundation-stone-for-23mw-solar-power-plant/,2023-02-06,President Lays Foundation Stone For 23MW Solar Power Plant,foroyaa.net
https://thepoint.gm/africa/gambia/headlines/barrow-lays-stone-for-ultramodern-solar-plant-at-jamburr,2023-02-07,Barrow lays stone for ultramodern solar plant at Jamburr,thepoint.gm
https://thepoint.gm/africa/gambia/headlines/judiciary-records-over-11000-cases-in-one-year,2023-02-08,"Judiciary records over 11,000 cases in one year",thepoint.gm
https://thepoint.gm/africa/gambia/headlines/utg-wascal-clocks-10-sets-to-graduate-first-phd-students,2023-02-08,"UTG-WASCAL clocks 10, sets to graduate first PhD students",thepoint.gm
https://standard.gm/gap-extends-condolences-to-turkey-over-earthquake-deaths/,2023-02-08,GAP Extends Condolences To Turkey Over Earthquake Deaths – The Gambia,standard.gm
https://thepoint.gm/africa/gambia/headlines/sis-boss-attends-african-intelligence-services-conference,2023-02-10,SIS boss attends African Intelligence Services conference,thepoint.gm
https://thepoint.gm/africa/gambia/headlines/4-gambians-to-participate-in-pan-african-climate-justice-annual-meeting,2023-02-10,4 Gambians to participate in Pan-African Climate Justice annual meeting,thepoint.gm
https://standard.gm/the-validity-of-gambias-death-penalty-regime/,2023-02-15,The Validity Of Gambia's Death Penalty Regime: – The Standard Newspaper,standard.gm
https://thepoint.gm/africa/gambia/headlines/udp-slams-probe-into-councils-financial-affairs-witch-hunt,2023-02-16,UDP slams probe into councils financial affairs ‘witch hunt’,thepoint.gm
https://foroyaa.net/world-bank-executive-director-concludes-three-day-working-visit/,2023-02-21,World Bank Executive Director Concludes Three Day Working Visit,foroyaa.net
https://standard.gm/milestones-on-the-road-to-an-emerging-dictatorship/,2023-02-22,Milestones On The Road To An Emerging Dictatorship – The Standard Newspaper,standard.gm
https://standard.gm/gambia-to-leverage-climate-change-challenges/,2023-02-24,Gambia To Leverage Climate Change Challenges – The Standard Newspaper,standard.gm
https://thepoint.gm/africa/gambia/headlines/gambia-hosts-5th-intl-symposium-on-climate-change-adaptation-in-africa,2023-03-03,Gambia hosts 5th Int’l symposium on climate change adaptation in Africa,thepoint.gm
https://thepoint.gm/africa/gambia/headlines/tangara-describes-qatar-as-inspiration-for-small-countries,2023-03-07,Tangara describes Qatar as inspiration for small countries,thepoint.gm
https://standard.gm/africa-health-agenda-international-conference-2023-welcoming-remarks-by-dr-ahmed-ogwell-ouma-acting-director-africa-cdc-6th-march-2023/,2023-03-08,"Africa Health Agenda International Conference 2023 Welcoming Remarks By Dr Ahmed Ogwell Ouma, Acting Director, Africa CDC 6th March 2023 – The Standard Newspaper",standard.gm
https://foroyaa.net/dr-tangara-says-plans-to-launch-new-development-plan-2023-2027-underway/,2023-03-08,Dr. Tangara Says Plans To Launch New Development Plan 2023-2027 Underway,foroyaa.net
https://standard.gm/gambias-climate-fight-a-mirage-without-immediate-and-enough-finance/,2023-03-10,Gambia's Climate Fight: A Mirage Without Immediate And Enough Finance – The Standard Newspaper,standard.gm
https://standard.gm/ldc5-op-ed-keeping-our-promises-to-the-worlds-most-vulnerable/,2023-03-10,LDC5 Op-Ed: Keeping Our Promises To The World's Most Vulnerable – The Standard Newspaper,standard.gm
https://foroyaa.net/gccpc-commemorates-world-consumers-right-day/,2023-03-16,GCCPC Commemorates World Consumers Right Day,foroyaa.net
https://thepoint.gm/africa/gambia/headlines/un-names-young-gambian-as-new-climate-advisor,2023-03-17,UN names young Gambian as new climate advisor,thepoint.gm
https://thepoint.gm/africa/gambia/headlines/gambias-coastal-zone-likely-to-undergo-intense-challenges,2023-03-17,‘Gambia’s coastal zone likely to undergo intense challenges’,thepoint.gm
https://standard.gm/the-gambia-presents-a-global-opportunity-for-investments-the-time-to-engage-is-now/,2023-03-23,The Gambia Presents A Global Opportunity For investments – The Time To Engage Is Now – The Standard Newspaper,standard.gm
https://standard.gm/experts-discuss-african-industrial-chain-and-enhancing-value-addition-to-the-continents-products/,2023-03-23,Experts Discuss African Industrial Chain And Enhancing Value-addition To The Continent’s Products – The Standard Newspaper,standard.gm
https://gainako.com/government-warned-to-prevent-floods-which-affected-over-40000-people-in-2022/?utm_source=rss&utm_medium=rss&utm_campaign=government-warned-to-prevent-floods-which-affected-over-40000-people-in-2022,2023-03-22,"Government Warned to Prevent Floods which Affected Over 40,000 People in 2022",gainako.com
https://thepoint.gm/africa/gambia/headlines/367-candidates-nominated-for-lg-election,2023-03-29,367 candidates nominated for LG election,thepoint.gm
https://standard.gm/when-god-breaks-his-silence/,2023-03-30,When God Breaks His Silence! – The Standard Newspaper,standard.gm
https://thepoint.gm/africa/gambia/headlines/roots-project-holds-policy-dialogue-forum,2023-03-31,ROOTS project holds policy dialogue forum,thepoint.gm
https://standard.gm/delagua-launches-live-well-programme-in-partnership-with-the-government-of-the-gambia-to-provide125000-clean-cookstoves-to-the-rural-population/,2023-04-11,"DelAgua Launches Live Well Programme In Partnership With The Government Of The Gambia To Provide125,000 Clean Cookstoves To The Rural Population – The Standard Newspaper",standard.gm
https://thepoint.gm/africa/gambia/headlines/gambia-economy-to-grow-by-5-6-in-2023,2023-04-12,‘Gambia economy to grow by 5.6% in 2023’,thepoint.gm
https://standard.gm/govt-allocates-d1-42-bln-to-environment-ministry/,2023-04-19,Gov't Allocates D1.42 Bln To Environment Ministry – The Standard Newspaper,standard.gm
https://standard.gm/gambian-foreign-minister-addresses-lanting-forum-in-shanghai/,2023-04-21,Gambian Foreign Minister Addresses Lanting Forum In Shanghai – The Standard Newspaper,standard.gm
https://dailynewsgm.com/garden-tips-how-to-create-an-ecological-lawn/,2023-04-21,Garden tips: How to create an ecological lawn?,dailynewsgm.com
https://standard.gm/out-of-africa-ciwm-and-wasteaids-projectin-the-gambia-circular-economy-sustainability/,2023-04-27,Out Of Africa: CIWM And WasteAid's Projectin The Gambia Circular Economy Sustainability – The Standard Newspaper,standard.gm
https://standard.gm/nea-discusses-gccp-project-implementation/,2023-05-03,NEA Discusses GCCP Project Implementation – The Standard Newspaper,standard.gm
https://thepoint.gm/africa/gambia/headlines/enhance-capacity-of-customs-administrations,2023-05-05,Enhance capacity of customs administrations,thepoint.gm
https://standard.gm/access-to-income-protein-in-rural-gambia-grows/,2023-05-05,"Access To Income, Protein In Rural Gambia Grows – The Standard Newspaper",standard.gm
https://standard.gm/reaping-the-rewards-of-agricultural-investment-better-productivity-improving-lives/,2023-05-05,"Reaping The Rewards Of Agricultural Investment, Better Productivity, Improving Lives – The Standard Newspaper",standard.gm
https://standard.gm/gambia-uk-relations-celebrated-at-kings-coronation-reception/,2023-05-08,Gambia-UK Relations Celebrated At King's Coronation Reception – The Standard Newspaper,standard.gm
https://thepoint.gm/africa/gambia/headlines/wb-approves-460m-for-regional-harmonization-and-of-statistics-in-wc-africa,2023-05-16,WB approves $460M for regional harmonization of statistics in W/C Africa,thepoint.gm
https://thepoint.gm/africa/gambia/headlines/rape-case-involving-senegalese-opposition-leader-sonko-adjourned,2023-05-17,Rape case involving Senegalese opposition leader Sonko adjourned,thepoint.gm
https://thepoint.gm/africa/gambia/headlines/barrow-receives-new-world-bank-country-director,2023-05-17,Barrow receives new World Bank country director,thepoint.gm
https://thepoint.gm/africa/gambia/headlines/eu-ambassador-pays-courtesy-call-on-vp-jallow,2023-05-17,EU ambassador pays courtesy call on VP Jallow,thepoint.gm
https://thepoint.gm/africa/gambia/headlines/eu-ambassador-pays-courtesy-call-on-vp-jallow-2,2023-05-18,EU ambassador pays courtesy call on VP Jallow,thepoint.gm
