url,date_published,title,newsorg
https://diggers.news/guest-diggers/2023/03/29/thoughts-on-democracy-and-the-african-electoral-system/#comment-46782,2023-03-29,Thoughts on Democracy and the African Electoral System,diggers.news
https://www.news24.com/fin24/Climate_Future/News/six-climate-breakthroughs-that-made-2022-a-step-toward-net-zero-20230101,2023-01-01,Six climate breakthroughs that made 2022 a step toward net zero,news24.com
https://zambia24.com/lula-to-be-sworn-in-as-brazil-president-as-bolsonaro-flies-to-us/,2023-01-01,Lula to be sworn in as Brazil president as Bolsonaro flies to US,zambia24.com
https://www.news24.com/fin24/Markets/Commodities/lithium-miner-sees-25-price-drop-in-boon-for-electric-vehicles-20230101,2023-01-01,Lithium miner sees 25% price drop in boon for electric vehicles,news24.com
https://www.news24.com/fin24/Climate_Future/News/13-movies-about-climate-change-you-wont-want-to-miss-20230101,2023-01-01,"13 movies about climate change, you won't want to miss",news24.com
https://zambianewsnetwork.com/world-welcomes-2023-leaves-stormy-year-behind/,2023-01-01,"World Welcomes 2023, Leaves Stormy Year Behind",zambianewsnetwork.com
https://www.news24.com/fin24/Climate_Future/News/what-is-the-link-between-winter-storms-and-global-warming-20221229,2023-01-03,What is the link between winter storms and global warming?,news24.com
https://zambia24.com/snow-shortage-threatens-alps-with-wet-winter-season/,2023-01-03,Snow shortage threatens Alps with wet winter season,zambia24.com
http://www.daily-mail.co.zm/zesco-plans-more-solar-plants/?utm_source=rss&utm_medium=rss&utm_campaign=zesco-plans-more-solar-plants,2023-01-03,Zesco plans more solar plants – Zambia Daily Mail,daily-mail.co.zm
https://www.news24.com/channel/Music/News/watch-ard-matthews-is-racing-in-the-cape2rio-on-his-boat-the-impossible-machine-20230104-2,2023-01-04,WATCH | Ard Matthews is racing in the Cape2Rio on his boat The Impossible Machine,news24.com
https://www.news24.com/fin24/Climate_Future/Solutions/ditching-concrete-for-earth-to-build-a-cleaner-future-20230104,2023-01-04,Ditching concrete for earth to build a cleaner future,news24.com
https://www.news24.com/fin24/Climate_Future/Environment/germany-misses-2022-climate-target-on-ukraine-war-fallout-20230104,2023-01-04,Germany misses 2022 climate target on Ukraine war fallout,news24.com
https://www.lusakatimes.com/2023/01/04/nw-farmers-express-worry-over-the-presence-of-fall-armyworms-that-are-ravaging-their-maize-fields/,2023-01-04,NW Farmers express worry over the presence of fall army worms that are ravaging their maize fields,lusakatimes.com
https://www.news24.com/news24/World/News/state-of-emergency-declared-in-storm-battered-california-20230105,2023-01-05,State of emergency declared in storm-battered California,news24.com
https://zambianobserver.com/power-exports-in-relation-to-loadshedding-amb-emmanuel-mwamba/,2023-01-05,Power Exports in relation to Loadshedding- Amb. Emmanuel Mwamba,zambianobserver.com
https://www.news24.com/fin24/Climate_Future/Environment/new-record-as-2022-confirmed-as-uks-hottest-year-20230105,2023-01-05,New record as 2022 confirmed as UK's hottest year,news24.com
https://www.news24.com/fin24/Climate_Future/News/opinion-covid-19-why-some-companies-kept-sustainability-commitments-and-others-did-not-20230105,2023-01-05,"OPINION | Covid-19: Why some companies kept sustainability commitments, and others did not",news24.com
https://www.news24.com/fin24/Companies/glencore-under-new-climate-action-pressure-over-coal-cash-cow-20230105,2023-01-05,Glencore under new climate action pressure over coal cash cow,news24.com
https://www.techtrends.co.zm/googles-2022-year-in-review/?utm_source=rss&utm_medium=rss&utm_campaign=googles-2022-year-in-review,2023-01-05,Google’s 2022 Year In Review,techtrends.co.zm
https://www.lusakatimes.com/2023/01/06/power-exports-in-relation-to-loadshedding/,2023-01-06,Power Exports in relation to Loadshedding,lusakatimes.com
https://www.lusakatimes.com/2023/01/06/president-hakainde-hichilema-addresses-ongoing-load-shedding-unveils-energy-sufficiency-strategy/,2023-01-06,"President Hakainde Hichilema Addresses Ongoing Load Shedding, Unveils Energy Sufficiency Strategy",lusakatimes.com
https://www.lusakatimes.com/2023/01/06/upnd-energy-chairperson-justifies-the-export-of-electricity-to-other-counties-amid-a-local-energy-crisis/,2023-01-06,UPND Energy Chairperson Justifies the Export of Electricity to other Counties amid a Local Energy Crisis,lusakatimes.com
https://www.news24.com/fin24/Climate_Future/Solutions/how-film-and-tv-can-help-the-climate-change-battle-20221130,2023-01-06,How film and TV can help the climate change battle,news24.com
https://zambianobserver.com/upnd-energy-chairperson-justifies-the-export-of-electricity-to-other-counties-amid-a-local-energy-crisis/,2023-01-06,UPND Energy Chairperson Justifies the Export of Electricity to other Counties amid a Local Energy Crisis,zambianobserver.com
https://www.news24.com/fin24/Climate_Future/News/skiing-in-the-alps-faces-a-bleak-future-thanks-to-climate-change-20230107,2023-01-07,Skiing in the Alps faces a bleak future thanks to climate change,news24.com
https://www.news24.com/fin24/Climate_Future/Environment/they-survived-the-hunters-now-king-penguins-face-climate-change-20221229,2023-01-07,"They survived the hunters, now king penguins face climate change",news24.com
https://www.news24.com/fin24/Climate_Future/Solutions/opinion-what-ancient-wisdom-can-teach-businesses-about-sustainable-finance-20230108,2023-01-08,OPINION | What ancient wisdom can teach businesses about sustainable finance,news24.com
https://zambianewsnetwork.com/conflicts-climate-change-threaten-sprouting-of-africas-great-green-wall/,2023-01-06,"Conflicts, Climate Change Threaten Sprouting of Africa's Great Green Wall",zambianewsnetwork.com
https://www.lusakatimes.com/2023/01/09/zambia-obtains-grant-from-adaptation-fund-to-facilitate-accreditation-of-national-implementing-entity/,2023-01-09,Zambia Obtains Grant from Adaptation Fund to Facilitate Accreditation of National Implementing Entity,lusakatimes.com
