Country,GDP (in millions,Year Reported,Population (in thousands),Year Reported
Algeria,"263,619,794.51",2024,"46,814.31",2024
Angola,"80,396.94",2024,"37,885.85",2024
Benin,"21,482.64",2024,"14,462.72",2024
Botswana,"19,400.77",2024,"2,521.14",2024
Burkina Faso,"23,250.21",2024,"23,548.78",2024
Burundi,"2,162.38",2024,"14,047.79",2024
Cabo Verde,"2,767.60",2024,524.88,2024
Cameroon,"51,326.76",2024,"29,123.74",2024
Central African Rep.,"2,751.54",2024,"5,330.69",2024
Chad,"20,625.71",2024,"20,299.12",2024
comoros,"1,546.16",2024,866.63,2024
Dem. Rep. Congo,"70,749.36",2024,"109,276.26",2024
Congo,"15,719.99",2024,"6,332.96",2024
Ivory Coast,"86,538.41",2024,"31,934.23",2024
Djibouti,"4,086.40",2024,"1,168.72",2024
Egypt,"389,059.91",2024,"116,538.26",2024
Eq. Guinea,"12,765.78",2024,"1,892.52",2024
Eritrea,"2,535.00",2024,"3,535.60",2024
Eswatini,"4,891.88",2024,"1,242.82",2024
Ethiopia,"143,123.00",2022,"132,059.77",2024
Gabon,"20,867.04",2024,"2,538.95",2024
Gambia,"2,507.52",2024,"2,759.99",2024
Ghana,"82,825.29",2024,"34,427.41",2024
Guinea,"25,334.31",2024,"14,754.78",2024
Guinea-Bissau,"2,119.87",2024,"2,201.35",2024
Kenya,"124,498.69",2024,"56,432.94",2024
Lesotho,"2,271.54",2024,"2,337.42",2024
Liberia,"4,750.00",2024,"5,612.82",2024
Libya,"46,636.28",2024,"7,381.02",2024
Madagascar,"17,420.81",2024,"31,964.96",2024
Malawi,"11,008.93",2024,"21,655.29",2024
Mali,"26,588.07",2024,"24,478.60",2024
Mauritania,"10,766.73",2024,"5,169.40",2024
Mauritius,"14,952.56",2024,"1,259.51",2024
Morocco,"154,431.00",2024,"38,081.17",2024
Mozambique,"22,416.65",2024,"34,631.77",2024
Namibia,"13,372.35",2024,"3,030.13",2024
Niger,"19,537.64",2024,"27,032.41",2024
Nigeria,"19,537.64",2024,"232,679.48",2024
Rwanda,"14,251.64",2024,"14,256.57",2024
São Tomé and Príncipe,764.27,2024,235.54,2024
Senegal,"32,267.25",2024,"18,501.98",2024
Seychelles,"2,167.24",2024,121.35,2024
Sierra Leone,"7,547.84",2024,"8,642.02",2024
Somalia,"12,108.52",2024,"19,009.15",2024
South Africa,"400,260.72",2024,"64,007.19",2024
S. Sudan,"4,600.00",2015,"11,943.41",2024
Sudan,"49,909.81",2024,"50,448.96",2024
Tanzania,"78,779.86",2024,"68,560.16",2024
Togo,"9,925.73",2024,"9,515.24",2024
Tunisia,"53,409.99",2024,"12,277.11",2024
Uganda,"53,651.87",2024,"50,015.09",2024
Zambia,"26,325.78",2024,"21,314.96",2024
Zimbabwe,"44,187.70",2024,"16,634.37",2024
